trial_id,action,t_sent_ns,t_scan_ms,t_connect_ms,t_key_exchange_ms,t_write_ms,t_ack_ms,t_total_ms,success,error
s0001,STAND_UP,49603292373795,555.3,4475.2,406.9,81.6,89.7,8173.0,True,
s0002,STAND_UP,49609900122902,33.3,3194.0,444.3,88.5,90.1,5784.9,True,
s0003,STAND_UP,49615839503548,33.5,3192.7,399.1,89.1,90.3,5829.0,True,
s0004,STAND_UP,49623175032396,36.3,4496.2,398.8,88.4,135.5,7764.4,True,
s0005,STAND_UP,49629835118816,66.9,3159.4,400.1,89.8,88.8,5828.7,True,
s0006,STAND_UP,49637170201923,51.0,4483.7,397.8,133.2,90.1,7809.7,True,
s0007,STAND_UP,49646530278141,57.7,5868.7,355.7,88.4,90.1,8799.7,True,
s0008,STAND_UP,49652920279424,36.6,3191.5,443.7,88.2,90.3,5784.5,True,
s0009,STAND_UP,49657645124045,34.4,1933.7,443.7,88.6,89.9,4794.3,True,
s0010,STAND_UP,49662640061826,34.1,1933.5,444.2,88.7,90.1,4794.4,True,
s0011,STAND_UP,49670200876841,57.0,4477.5,443.1,87.5,90.4,7809.5,True,
s0012,STAND_UP,49678210238542,77.0,4455.6,444.0,88.3,90.4,7809.6,True,
s0013,STAND_UP,49684960035061,33.8,3238.5,444.2,88.8,89.9,5784.0,True,
s0014,STAND_UP,49690900383953,38.1,3190.0,444.0,88.1,90.1,5784.6,True,
s0015,STAND_UP,49698190147211,1365.2,3168.4,443.1,90.4,87.8,7809.6,True,
s0016,STAND_UP,49704940399091,55.8,3217.7,443.3,90.1,88.2,5784.5,True,
s0017,STAND_UP,49710878269764,34.0,3193.4,442.2,90.5,89.9,5829.6,True,
s0018,STAND_UP,49718214926749,68.7,4464.3,443.3,88.4,90.2,7809.8,True,
s0019,STAND_UP,49723975245997,44.6,1923.3,758.5,88.3,90.1,4794.4,True,
s0020,STAND_UP,49734055363068,3927.6,3170.8,713.0,88.2,90.2,9789.4,True,
s0021,STAND_UP,49741165117067,70.7,4461.8,398.9,88.6,90.0,7809.5,True,
s0022,STAND_UP,49749175068324,50.1,4482.6,398.5,89.2,89.4,7764.8,True,
s0023,STAND_UP,49757140249135,33.5,4498.8,398.7,88.2,90.1,7808.5,True,
s0024,STAND_UP,49763844286561,39.0,3189.1,398.0,89.6,90.1,5829.7,True,
s0025,STAND_UP,49771224903026,36.8,4538.6,401.2,88.6,90.1,7764.2,True,
s0026,STAND_UP,49780450250422,76.1,5759.4,401.4,88.1,90.2,8799.4,True,
s0027,STAND_UP,49785579107142,34.9,1934.6,396.5,89.2,90.2,4795.0,True,
s0028,STAND_UP,49793139031239,31.3,4501.6,397.7,89.6,90.0,7809.6,True,
s0029,STAND_UP,49798585397270,31.9,1936.4,398.5,88.0,90.4,4794.1,True,
s0030,STAND_UP,49804840426268,48.1,3179.0,400.0,88.2,89.8,5829.6,True,
s0031,STAND_UP,49812175041847,1387.6,3145.2,398.3,88.6,90.0,7764.2,True,
s0032,STAND_UP,49817575068583,43.7,1924.0,398.7,88.8,90.0,4839.4,True,
s0033,STAND_UP,49825225098544,1370.5,3207.7,398.1,88.5,89.9,7764.3,True,
s0034,STAND_UP,49834448354695,32.0,5806.1,396.9,90.1,90.3,8799.5,True,
s0035,STAND_UP,49840883957724,31.9,3240.2,398.4,89.8,90.0,5829.6,True,
s0036,STAND_UP,49848173223474,1365.1,3169.0,395.5,90.3,90.1,7809.7,True,
s0037,STAND_UP,49853664092557,37.1,1975.9,397.2,89.2,90.5,4794.9,True,
s0038,STAND_UP,49861180185855,34.6,4497.7,398.5,88.4,90.2,7764.3,True,
s0039,STAND_UP,49872970174463,52.5,8304.8,398.8,88.6,89.8,10824.5,True,
s0040,STAND_UP,49880216045918,1364.4,3212.5,399.9,87.8,89.9,7809.5,True,
s0041,STAND_UP,49885794697265,34.6,1932.7,578.1,89.0,90.2,4793.5,True,
s0042,STAND_UP,49892185286119,34.8,3238.3,668.8,88.3,90.4,6774.6,True,
s0043,STAND_UP,49900284926235,1374.7,3203.6,487.9,88.7,90.0,7809.1,True,
s0044,STAND_UP,49905865298203,34.6,1931.9,670.3,88.5,89.7,4794.5,True,
s0045,STAND_UP,49911985242738,37.7,3235.0,489.0,89.3,89.4,5784.4,True,
s0046,STAND_UP,49917878838069,34.7,3238.4,397.2,89.9,89.8,5829.3,True,
s0047,STAND_UP,49923867828428,31.8,3196.1,401.6,85.8,90.1,5784.6,True,
s0048,STAND_UP,49931154856381,52.1,4480.9,398.5,88.9,89.9,7809.7,True,
s0049,STAND_UP,49937905205361,72.8,3200.9,397.9,88.7,89.9,5784.7,True,
s0050,STAND_UP,49942584992912,33.5,1933.4,399.3,88.4,90.5,4794.4,True,
