trial_id,action,t_sent_ns,t_scan_ms,t_connect_ms,t_key_exchange_ms,t_write_ms,t_ack_ms,t_total_ms,success,error
s0001,TAKE_STEP,23285090466446,405.1,19336.5,673.2,88.8,90.2,179.0,True,
s0002,TAKE_STEP,23285470261637,,,,69.6,89.7,159.5,True,
s0003,TAKE_STEP,23285830352831,,,,114.2,90.9,205.2,True,
s0004,TAKE_STEP,23286236042885,,,,68.6,90.1,158.8,True,
s0005,TAKE_STEP,23286595314188,,,,69.2,90.2,159.5,True,
s0006,TAKE_STEP,23286955377057,,,,69.3,90.3,159.6,True,
s0007,TAKE_STEP,23287315581991,,,,69.0,90.1,159.2,True,
s0008,TAKE_STEP,23287675364426,,,,69.3,90.2,159.6,True,
s0009,TAKE_STEP,23288035496508,,,,68.9,90.5,159.5,True,
s0010,TAKE_STEP,23288395396213,,,,69.5,89.8,159.3,True,
s0011,TAKE_STEP,23288755276388,,,,69.5,90.1,159.7,True,
s0012,TAKE_STEP,23289115412160,,,,69.3,90.0,159.4,True,
s0013,TAKE_STEP,23289475388503,,,,69.3,90.1,159.5,True,
s0014,TAKE_STEP,23289835387487,,,,69.2,90.3,159.5,True,
s0015,TAKE_STEP,23290195436542,,,,69.4,90.1,159.6,True,
s0016,TAKE_STEP,23290555566779,,,,69.3,90.1,159.5,True,
s0017,TAKE_STEP,23290915516408,,,,69.2,89.7,159.0,True,
s0018,TAKE_STEP,23291274940431,,,,69.7,90.3,160.0,True,
s0019,TAKE_STEP,23291635430570,,,,69.2,90.2,159.5,True,
s0020,TAKE_STEP,23291995491832,,,,68.8,90.5,159.3,True,
s0021,TAKE_STEP,23292355383560,,,,69.3,90.1,159.5,True,
s0022,TAKE_STEP,23292715362256,,,,69.5,89.9,159.6,True,
s0023,TAKE_STEP,23293075265273,,,,69.4,90.2,159.7,True,
s0024,TAKE_STEP,23293435280162,,,,69.5,90.1,159.7,True,
s0025,TAKE_STEP,23293795431255,,,,69.5,90.0,159.5,True,
s0026,TAKE_STEP,23294155355135,,,,69.3,89.7,159.0,True,
s0027,TAKE_STEP,23294514882335,,,,69.4,91.2,160.6,True,
s0028,TAKE_STEP,23294877637950,,,,66.8,89.8,158.3,True,
s0029,TAKE_STEP,23295234760747,,,,69.5,90.3,159.9,True,
s0030,TAKE_STEP,23295595501863,,,,70.1,88.9,159.1,True,
s0031,TAKE_STEP,23295955198785,,,,69.5,90.7,160.3,True,
s0032,TAKE_STEP,23296316158081,,,,68.5,90.9,159.5,True,
s0033,TAKE_STEP,23296676228940,,,,67.3,91.1,158.4,True,
s0034,TAKE_STEP,23297035269762,,,,114.4,90.0,204.5,True,
s0035,TAKE_STEP,23297440371511,,,,69.2,90.2,159.5,True,
