trial_id,action,t_sent_ns,t_scan_ms,t_connect_ms,t_key_exchange_ms,t_write_ms,t_ack_ms,t_total_ms,success,error
s0001,TAKE_STEP,24289371438192,2320.2,4493.0,442.7,88.5,90.1,178.6,True,
s0002,TAKE_STEP,24289750613705,,,,69.2,90.0,159.3,True,
s0003,TAKE_STEP,24290110446319,,,,69.3,89.7,159.1,True,
s0004,TAKE_STEP,24290470101599,,,,69.7,90.1,159.8,True,
s0005,TAKE_STEP,24290830429804,,,,69.4,90.0,159.4,True,
s0006,TAKE_STEP,24291190335458,,,,69.2,90.3,159.5,True,
s0007,TAKE_STEP,24291550437044,,,,69.3,89.9,159.3,True,
s0008,TAKE_STEP,24291910241673,,,,69.6,92.0,161.6,True,
s0009,TAKE_STEP,24292272411382,,,,67.3,270.0,337.4,True,
s0010,TAKE_STEP,24292810281982,,,,69.2,90.1,159.4,True,
s0011,TAKE_STEP,24293170201758,,,,69.2,90.4,159.7,True,
s0012,TAKE_STEP,24293530465028,,,,68.9,90.1,159.1,True,
s0013,TAKE_STEP,24293889969576,,,,70.3,89.6,159.9,True,
s0014,TAKE_STEP,24294250440291,,,,159.5,90.0,249.6,True,
s0015,TAKE_STEP,24294700601120,,,,114.3,90.0,204.4,True,
s0016,TAKE_STEP,24295105562701,,,,69.1,90.3,159.5,True,
s0017,TAKE_STEP,24295465569495,,,,69.3,90.2,159.5,True,
s0018,TAKE_STEP,24295825622042,,,,69.1,90.0,159.2,True,
s0019,TAKE_STEP,24296185318484,,,,69.5,90.2,159.7,True,
s0020,TAKE_STEP,24296545638452,,,,69.1,89.9,159.2,True,
s0021,TAKE_STEP,24296905343680,,,,69.4,89.9,159.3,True,
s0022,TAKE_STEP,24297265173819,,,,69.6,90.2,159.8,True,
s0023,TAKE_STEP,24297625502847,,,,69.2,91.1,160.3,True,
s0024,TAKE_STEP,24297986393915,,,,68.4,90.2,158.7,True,
s0025,TAKE_STEP,24298345609417,,,,69.3,89.8,159.2,True,
s0026,TAKE_STEP,24298705306026,,,,69.5,90.1,159.7,True,
s0027,TAKE_STEP,24299065450210,,,,69.3,90.2,159.6,True,
s0028,TAKE_STEP,24299425617670,,,,68.9,90.2,159.2,True,
s0029,TAKE_STEP,24299785357821,,,,69.2,90.1,159.4,True,
s0030,TAKE_STEP,24300145370667,,,,114.5,90.0,204.5,True,
s0031,TAKE_STEP,24300550285795,,,,69.6,89.9,159.6,True,
s0032,TAKE_STEP,24300910396723,,,,69.4,89.8,159.3,True,
s0033,TAKE_STEP,24301270182251,,,,159.7,90.1,249.8,True,
