trial_id,action,t_received_ns,t_ack_set_ns
t0001,STAND_UP,4627663907263,4627664458348
t0002,STAND_UP,4641479293011,4641479791128
t0003,STAND_UP,4654213679530,4654214172491
t0004,STAND_UP,4664608871787,4664609317249
t0005,STAND_UP,4683553649731,4683554088318
t0006,STAND_UP,4693543681580,4693544196260
t0007,STAND_UP,4710013669724,4710014115550
t0008,STAND_UP,4726978800558,4726979245863
t0009,STAND_UP,4741693401425,4741693848970
t0010,STAND_UP,4754383316600,4754383762167
t0011,STAND_UP,4763338277188,4763338719681
t0012,STAND_UP,4773553578650,4773554019738
t0013,STAND_UP,4789933536701,4789933980444
t0014,STAND_UP,4799248561432,4799249014342
t0015,STAND_UP,4809553504698,4809553948597
t0016,STAND_UP,4827238411990,4827238856931
t0017,STAND_UP,4845238369088,4845238813248
t0018,STAND_UP,4854373082616,4854373525423
t0019,STAND_UP,4865848388907,4865848831921
t0020,STAND_UP,4874218298060,4874218741804
t0021,STAND_UP,4883442929026,4883443373812
t0022,STAND_UP,4892308323506,4892308776208
t0023,STAND_UP,4903918283258,4903918724033
t0024,STAND_UP,4914583099864,4914583542358
t0025,STAND_UP,4929747880854,4929748432565
t0026,STAND_UP,4944688327823,4944688779796
t0027,STAND_UP,4955848352270,4955848800701
t0028,STAND_UP,4965568201473,4965568650373
t0029,STAND_UP,4975558207677,4975558662151
t0030,STAND_UP,4989463023120,4989463467177
