trial_id,action,t_received_ns,t_ack_set_ns
s0001,TAKE_STEP,7622911700868,7622912266487
s0002,TAKE_STEP,7623272137925,7623272615107
s0003,TAKE_STEP,7623631423745,7623631877698
s0004,TAKE_STEP,7624036507170,7624036968259
s0005,TAKE_STEP,7624396509492,7624396960216
s0006,TAKE_STEP,7624756568064,7624757046496
s0007,TAKE_STEP,7625116352524,7625116812571
s0008,TAKE_STEP,7625476515574,7625476987235
s0009,TAKE_STEP,7625837149452,7625837625904
s0010,TAKE_STEP,7626198504728,7626199243157
s0011,TAKE_STEP,7626558645486,7626559386728
s0012,TAKE_STEP,7626918760360,7626919919773
s0013,TAKE_STEP,7627278687839,7627279432154
s0014,TAKE_STEP,7627638603601,7627639341353
s0015,TAKE_STEP,7627998667694,7627999439872
s0016,TAKE_STEP,7628358699652,7628359539017
s0017,TAKE_STEP,7628718730099,7628719472487
s0018,TAKE_STEP,7629078735548,7629079474758
s0019,TAKE_STEP,7629438736464,7629439492550
s0020,TAKE_STEP,7629798721080,7629799465186
s0021,TAKE_STEP,7630158536165,7630159282563
s0022,TAKE_STEP,7630520233418,7630520993096
s0023,TAKE_STEP,7630878736748,7630879609758
s0024,TAKE_STEP,7631238543448,7631239284117
s0025,TAKE_STEP,7631598549053,7631599292170
s0026,TAKE_STEP,7631958758249,7631959503606
s0027,TAKE_STEP,7632318714740,7632319554002
s0028,TAKE_STEP,7632678640242,7632679416431
s0029,TAKE_STEP,7633038727044,7633039471567
s0030,TAKE_STEP,7633398699473,7633399441548
s0031,TAKE_STEP,7633758608725,7633759352675
s0032,TAKE_STEP,7634118564122,7634119302291
s0033,TAKE_STEP,7634478738892,7634479483572
s0034,TAKE_STEP,7634883079933,7634883833726
s0035,TAKE_STEP,7635243259442,7635243922091
s0036,TAKE_STEP,7635603685304,7635604536544
s0037,TAKE_STEP,7635963678670,7635964501004
s0038,TAKE_STEP,7636323675630,7636324514162
s0039,TAKE_STEP,7636683627695,7636684492008
s0040,TAKE_STEP,7637043742049,7637044581988
s0041,TAKE_STEP,7637403730103,7637404595406
s0042,TAKE_STEP,7637763036082,7637763699460
s0043,TAKE_STEP,7638123525589,7638124374381
s0044,TAKE_STEP,7638483704943,7638484563162
s0045,TAKE_STEP,7638843738413,7638844620695
s0046,TAKE_STEP,7639203636312,7639204478907
s0047,TAKE_STEP,7639563734522,7639564598991
s0048,TAKE_STEP,7639923745909,7639924607306
s0049,TAKE_STEP,7640283618497,7640284457758
s0050,TAKE_STEP,7640643561864,7640644425865
s0051,TAKE_STEP,7641003775073,7641004636521
s0052,TAKE_STEP,7641363757919,7641364614680
s0053,TAKE_STEP,7641723714829,7641724581277
s0054,TAKE_STEP,7642083144192,7642083811893
s0055,TAKE_STEP,7642443786094,7642444621709
s0056,TAKE_STEP,7642803661546,7642804535703
s0057,TAKE_STEP,7643163538613,7643164421519
s0058,TAKE_STEP,7643523706458,7643524549625
s0059,TAKE_STEP,7643883753783,7643884594294
s0060,TAKE_STEP,7644243681683,7644244572558
s0061,TAKE_STEP,7644603641978,7644604476500
s0062,TAKE_STEP,7644964358203,7644965092309
s0063,TAKE_STEP,7645368771744,7645369515330
s0064,TAKE_STEP,7645728649853,7645729389584
s0065,TAKE_STEP,7646088705304,7646089453889
s0066,TAKE_STEP,7646448800754,7646449545069
s0067,TAKE_STEP,7646808996412,7646809733747
s0068,TAKE_STEP,7647168838480,7647169576024
s0069,TAKE_STEP,7647528867265,7647529612621
s0070,TAKE_STEP,7647888810321,7647889554167
s0071,TAKE_STEP,7648248692233,7648249428943
s0072,TAKE_STEP,7648608718882,7648609458874
s0073,TAKE_STEP,7648968822770,7648969608543
s0074,TAKE_STEP,7649328773379,7649329513736
s0075,TAKE_STEP,7649688662635,7649689406324
s0076,TAKE_STEP,7650049201883,7650049943697
s0077,TAKE_STEP,7650408822235,7650409562279
s0078,TAKE_STEP,7650768639512,7650769381691
s0079,TAKE_STEP,7651128740432,7651129481049
s0080,TAKE_STEP,7651488824061,7651489567490
s0081,TAKE_STEP,7651849166176,7651850004240
s0082,TAKE_STEP,7652208729602,7652209467459
s0083,TAKE_STEP,7652569175415,7652569925146
s0084,TAKE_STEP,7652928948526,7652929691018
s0085,TAKE_STEP,7653288908198,7653289646211
s0086,TAKE_STEP,7653649099117,7653649841192
s0087,TAKE_STEP,7654009241340,7654009977425
s0088,TAKE_STEP,7654368856849,7654369596007
s0089,TAKE_STEP,7654729182246,7654729934790
s0090,TAKE_STEP,7655088842078,7655089582382
