trial_id,action,t_received_ns,t_ack_set_ns
s0001,TAKE_STEP,8627190162538,8627190655812
s0002,TAKE_STEP,8627549950484,8627550365062
s0003,TAKE_STEP,8627909898636,8627910313579
s0004,TAKE_STEP,8628269924914,8628270341835
s0005,TAKE_STEP,8628629904942,8628630321499
s0006,TAKE_STEP,8628990005334,8628990418454
s0007,TAKE_STEP,8629349993541,8629350407910
s0008,TAKE_STEP,8629710773560,8629711220272
s0009,TAKE_STEP,8630069890166,8630070303493
s0010,TAKE_STEP,8630609945915,8630610364763
s0011,TAKE_STEP,8630969890895,8630970305837
s0012,TAKE_STEP,8631332322040,8631333062603
s0013,TAKE_STEP,8631692273948,8631693015657
s0014,TAKE_STEP,8632052270857,8632053010586
s0015,TAKE_STEP,8632502187138,8632503035095
s0016,TAKE_STEP,8632907154984,8632907896276
s0017,TAKE_STEP,8633267152780,8633267897041
s0018,TAKE_STEP,8633627191305,8633627929836
s0019,TAKE_STEP,8633987152384,8633987896124
s0020,TAKE_STEP,8634347146172,8634347895067
s0021,TAKE_STEP,8634707160480,8634707933386
s0022,TAKE_STEP,8635067137133,8635067976965
s0023,TAKE_STEP,8635427149880,8635427896537
s0024,TAKE_STEP,8635787139139,8635787985793
s0025,TAKE_STEP,8636147134700,8636147880940
s0026,TAKE_STEP,8636507138855,8636507884157
s0027,TAKE_STEP,8636867097282,8636867840136
s0028,TAKE_STEP,8637227247999,8637227987520
s0029,TAKE_STEP,8637587248979,8637588197663
s0030,TAKE_STEP,8637947092826,8637947839274
s0031,TAKE_STEP,8638352334063,8638353066657
s0032,TAKE_STEP,8638712218067,8638712957171
s0033,TAKE_STEP,8639072283996,8639073030132
s0034,TAKE_STEP,8639522185083,8639522929239
s0035,TAKE_STEP,8639882193462,8639882935170
s0036,TAKE_STEP,8640242219394,8640242958029
s0037,TAKE_STEP,8640692220897,8640692955939
s0038,TAKE_STEP,8641052241831,8641052988852
s0039,TAKE_STEP,8641412306097,8641413051607
s0040,TAKE_STEP,8641772289583,8641773030198
s0041,TAKE_STEP,8642132583170,8642133325764
s0042,TAKE_STEP,8642492685094,8642493426386
s0043,TAKE_STEP,8642852251765,8642852989463
s0044,TAKE_STEP,8643212394158,8643213133731
s0045,TAKE_STEP,8643572329991,8643573071492
s0046,TAKE_STEP,8643932374783,8643933110918
s0047,TAKE_STEP,8644382280254,8644383019723
s0048,TAKE_STEP,8644742202652,8644742943214
s0049,TAKE_STEP,8645102126353,8645103008632
s0050,TAKE_STEP,8645462172500,8645462907178
s0051,TAKE_STEP,8645822217763,8645823054730
s0052,TAKE_STEP,8646182190632,8646182935205
s0053,TAKE_STEP,8646542050950,8646542790159
s0054,TAKE_STEP,8646902236577,8646903115367
s0055,TAKE_STEP,8647262244447,8647263082352
s0056,TAKE_STEP,8647622143048,8647622887725
s0057,TAKE_STEP,8647982214043,8647982954033
s0058,TAKE_STEP,8648342173165,8648342914821
s0059,TAKE_STEP,8648702099163,8648702842486
s0060,TAKE_STEP,8649062309741,8649063149104
s0061,TAKE_STEP,8649422201365,8649422948022
s0062,TAKE_STEP,8649782269967,8649783018915
s0063,TAKE_STEP,8650142106542,8650142845490
s0064,TAKE_STEP,8650502138010,8650502876853
s0065,TAKE_STEP,8650862178124,8650862920926
s0066,TAKE_STEP,8651222167042,8651222917031
s0067,TAKE_STEP,8651582127418,8651582866366
s0068,TAKE_STEP,8651942224461,8651942970856
s0069,TAKE_STEP,8652302200411,8652303051389
s0070,TAKE_STEP,8652662189279,8652662929998
s0071,TAKE_STEP,8653022204501,8653022946053
s0072,TAKE_STEP,8653382247067,8653382999765
s0073,TAKE_STEP,8653787177189,8653788087332
s0074,TAKE_STEP,8654147098039,8654147943653
s0075,TAKE_STEP,8654507130972,8654507876222
s0076,TAKE_STEP,8654867119790,8654867856395
s0077,TAKE_STEP,8655227611520,8655228499112
s0078,TAKE_STEP,8655586948474,8655587694505
s0079,TAKE_STEP,8655992314219,8655993048427
s0080,TAKE_STEP,8656352288822,8656353027041
s0081,TAKE_STEP,8656712213529,8656712960863
s0082,TAKE_STEP,8657117165844,8657117908595
s0083,TAKE_STEP,8657477183677,8657477919917
s0084,TAKE_STEP,8657837230416,8657838069676
s0085,TAKE_STEP,8658242175806,8658242918921
s0086,TAKE_STEP,8658602207078,8658603087639
s0087,TAKE_STEP,8658962209601,8658962951101
s0088,TAKE_STEP,8659322218114,8659322965656
s0089,TAKE_STEP,8659682536519,8659683276040
s0090,TAKE_STEP,8660087174989,8660087919770
s0091,TAKE_STEP,8660447170952,8660447920993
s0092,TAKE_STEP,8660807162852,8660807907113
s0093,TAKE_STEP,8661167262096,8661168122865
s0094,TAKE_STEP,8661527161916,8661527904718
s0095,TAKE_STEP,8661887154703,8661887902089
s0096,TAKE_STEP,8662292312285,8662293051545
s0097,TAKE_STEP,8662652157471,8662652900273
s0098,TAKE_STEP,8663057226149,8663057972597
s0099,TAKE_STEP,8663417135398,8663417877992
s0100,TAKE_STEP,8663822197462,8663823040211
