trial_id,esp_ack_received,esp_cc_send_ms,esp_ble_write_ms,esp_rtt_ms,rpi_rx_ack_ms,delta_esp_rtt_minus_rpi_ack_ms
1,1,8.588,1.366,151.939,59.3,92.639
2,1,8.645,1.627,143.998,61.82,82.178
3,1,8.641,1.623,145.159,58.07,87.089
4,1,8.683,1.619,145.02,59.39,85.63000000000001
5,1,68.841,1.635,195.033,60.46,134.57299999999998
6,1,8.637,1.621,146.02,61.59,84.43
7,1,8.67,1.618,144.023,69.21,74.813
8,1,8.648,1.628,146.154,68.0,78.154
9,1,8.639,1.626,144.028,65.24,78.788
10,1,8.656,1.622,196.024,110.68,85.344
11,1,8.652,1.621,295.03,211.45,83.57999999999998
12,1,8.689,1.623,295.028,212.29,82.73800000000003
13,1,8.645,1.624,295.025,211.14,83.88499999999999
14,1,8.636,1.624,294.016,194.28,99.73600000000002
15,1,8.637,1.623,146.019,35.21,110.809
16,1,8.646,1.618,145.153,37.23,107.923
17,1,8.636,1.628,145.026,37.68,107.346
18,1,8.656,1.62,144.028,38.2,105.82799999999999
19,1,8.652,1.627,145.029,39.43,105.59899999999999
20,1,8.649,1.621,146.016,35.46,110.55599999999998
21,1,8.636,1.624,145.019,37.43,107.589
22,1,8.643,1.621,144.025,38.69,105.33500000000001
23,1,8.634,1.629,146.019,37.44,108.57900000000001
24,1,8.655,1.619,144.154,36.72,107.434
25,1,8.637,1.625,145.03,36.44,108.59
26,1,70.631,1.623,195.018,36.41,158.608
27,1,8.636,1.62,146.017,38.52,107.49699999999999
28,1,8.644,1.62,145.151,35.34,109.811
29,1,8.635,1.626,145.025,36.31,108.715
30,1,8.655,1.619,144.023,36.99,107.03299999999999
31,1,8.657,1.626,146.026,37.14,108.88600000000001
32,1,8.689,1.622,145.026,35.33,109.69600000000001
33,1,8.644,1.626,145.026,37.93,107.096
34,1,8.642,1.626,145.018,37.4,107.618
35,1,8.633,1.63,145.019,37.39,107.629
36,1,8.653,1.623,145.154,37.05,108.104
37,1,8.636,1.627,145.026,40.19,104.83600000000001
38,1,8.656,1.622,145.023,36.01,109.013
39,1,8.652,1.626,145.029,36.82,108.209
40,1,8.649,1.621,145.017,36.1,108.917
41,1,8.636,1.625,143.009,40.6,102.40899999999999
42,1,8.643,1.482,157.023,35.41,121.613
43,1,8.634,1.613,145.019,36.13,108.88900000000001
44,1,8.655,1.615,145.155,35.33,109.825
45,1,8.641,1.611,145.028,35.72,109.30799999999999
46,1,70.628,1.618,195.017,36.44,158.577
47,1,8.636,1.618,145.017,38.48,106.537
48,1,8.644,1.614,145.154,38.32,106.834
49,1,8.635,1.612,145.024,40.65,104.374
50,1,8.655,1.615,145.022,42.34,102.68199999999999
51,1,8.662,1.61,145.031,37.24,107.791
52,1,8.679,1.614,145.026,37.21,107.816
53,1,8.653,1.613,145.029,35.85,109.179
54,1,8.637,1.611,145.024,35.9,109.124
55,1,8.639,1.61,145.021,35.1,109.92099999999999
56,1,8.655,1.615,145.156,35.34,109.816
57,1,8.638,1.611,145.031,35.21,109.821
58,1,8.658,1.616,145.026,35.62,109.406
59,1,8.654,1.612,145.031,35.02,110.011
60,1,8.652,1.616,145.018,40.04,104.97800000000001
61,1,8.638,1.614,145.018,37.88,107.138
62,1,8.645,1.615,145.024,34.97,110.054
63,1,8.636,1.616,145.027,43.28,101.74699999999999
64,1,8.656,1.614,145.152,37.38,107.77199999999999
65,1,8.643,1.615,245.032,146.5,98.53200000000001
