trial_id,success,error,t0_start_ns,t1_socket_ready_ns,t2_handshake_done_ns,t3_command_sent_ns,t4_ack_received_ns,socket_setup_ms,handshake_ms,command_ack_ms,total_ms,payload_len,ack_len
t0001,true,,3476977805120,3476977851819,3477520817110,3477520847396,3477725508662,0.0467,542.9653,204.6613,747.7035,40,31
t0002,true,,3477975683220,3477975724789,3478478386737,3478478412825,3478605775658,0.0416,502.6619,127.3628,630.0924,40,31
t0003,true,,3478855894977,3478855926796,3479082917024,3479082937971,3479142782752,0.0318,226.9902,59.8448,286.8878,40,31
t0004,true,,3479392950202,3479392982068,3479421100939,3479421112620,3479423748052,0.0319,28.1189,2.6354,30.7979,40,31
t0005,true,,3479673847908,3479673899933,3479703238286,3479703250550,3479710384096,0.0520,29.3384,7.1335,36.5362,40,31
t0006,true,,3479960534046,3479960564096,3480011393433,3480011414231,3480029771284,0.0301,50.8293,18.3571,69.2372,40,31
t0007,true,,3480279926399,3480279956884,3480438997958,3480439022859,3480493062032,0.0305,159.0411,54.0392,213.1356,40,31
t0008,true,,3480743202911,3480743227990,3480752924770,3480752935447,3480754490878,0.0251,9.6968,1.5554,11.2880,40,31
t0009,true,,3481004633430,3481004665332,3481092109083,3481092122040,3481094460175,0.0319,87.4438,2.3381,89.8267,40,31
t0010,true,,3481344584272,3481344614589,3481538185041,3481538195655,3481540355900,0.0303,193.5705,2.1602,195.7716,40,31
t0011,true,,3481790495390,3481790517855,3481842153794,3481842165308,3481844144704,0.0225,51.6359,1.9794,53.6493,40,31
t0012,true,,3482094346911,3482094371745,3482112637896,3482112643855,3482114678836,0.0248,18.2662,2.0350,20.3319,40,31
t0013,true,,3482364803746,3482364834773,3482389252280,3482389275589,3482390957602,0.0310,24.4175,1.6820,26.1539,40,31
t0014,true,,3482641205989,3482641234889,3482660703656,3482660714365,3482662683614,0.0289,19.4688,1.9692,21.4776,40,31
t0015,true,,3482912908853,3482912940072,3482929839871,3482929850607,3482931888451,0.0312,16.8998,2.0378,18.9796,40,31
t0016,true,,3483182116920,3483182144519,3483206061000,3483206072233,3483208134897,0.0276,23.9165,2.0627,26.0180,40,31
t0017,true,,3483458344890,3483458369002,3483471109203,3483471119690,3483473028801,0.0241,12.7402,1.9091,14.6839,40,31
t0018,true,,3483723140248,3483723170328,3483756606319,3483756617156,3483759789415,0.0301,33.4360,3.1723,36.6492,40,31
t0019,true,,3484010016688,3484010045804,3484027169194,3484027185836,3484029261898,0.0291,17.1234,2.0761,19.2452,40,31
t0020,true,,3484279502098,3484279535966,3484290943738,3484290954766,3484293921074,0.0339,11.4078,2.9663,14.4190,40,31
t0021,true,,3484544008256,3484544034969,3484553568481,3484553586999,3484555507016,0.0267,9.5335,1.9200,11.4988,40,31
t0022,true,,3484805745086,3484805774101,3484865365581,3484865388096,3484878538870,0.0290,59.5915,13.1508,72.7938,40,31
t0023,true,,3485128659963,3485128690698,3485150680801,3485150700311,3485154060229,0.0307,21.9901,3.3599,25.4003,40,31
t0024,true,,3485404167651,3485404195343,3485417632870,3485417644185,3485419977770,0.0277,13.4375,2.3336,15.8101,40,31
t0025,true,,3485670088258,3485670124326,3485686091345,3485686114088,3485688406450,0.0361,15.9670,2.2924,18.3182,40,31
t0026,true,,3485938540149,3485938574818,3485949205170,3485949216104,3485956770349,0.0347,10.6304,7.5542,18.2302,40,31
t0027,true,,3486206880361,3486206911633,3486225496478,3486225510567,3486228039262,0.0313,18.5848,2.5287,21.1589,40,31
t0028,true,,3486478154271,3486478190524,3486496188130,3486496198759,3486499376964,0.0363,17.9976,3.1782,21.2227,40,31
t0029,true,,3486749517032,3486749720669,3486763134647,3486763141875,3486766543609,0.2036,13.4140,3.4017,17.0266,40,31
t0030,true,,3487016668325,3487016695834,3487033303288,3487033315346,3487043214463,0.0275,16.6075,9.8991,26.5461,40,31
t0031,true,,3487293466122,3487293496277,3487306904664,3487306912314,3487310995566,0.0302,13.4084,4.0833,17.5294,40,31
t0032,true,,3487561104619,3487561127156,3487572195244,3487572207312,3487574196678,0.0225,11.0681,1.9894,13.0921,40,31
t0033,true,,3487824308222,3487824340497,3487850875107,3487850891779,3487853199634,0.0323,26.5346,2.3079,28.8914,40,31
t0034,true,,3488103301327,3488103331799,3488119830248,3488119841923,3488124378738,0.0305,16.4984,4.5368,21.0774,40,31
t0035,true,,3488374523060,3488374719927,3488396127703,3488396141573,3488399635866,0.1969,21.4078,3.4943,25.1128,40,31
t0036,true,,3488649732124,3488649755085,3488667741934,3488667754733,3488670213348,0.0230,17.9868,2.4586,20.4812,40,31
t0037,true,,3488920432970,3488920458746,3488948150800,3488948173187,3488951339789,0.0258,27.6921,3.1666,30.9068,40,31
t0038,true,,3489201456084,3489201493851,3489219300827,3489219313258,3489222436135,0.0378,17.8070,3.1229,20.9801,40,31
t0039,true,,3489472646393,3489472670254,3489500694880,3489500708283,3489505120762,0.0239,28.0246,4.4125,32.4744,40,31
t0040,true,,3489755221938,3489755250966,3489787197297,3489787212934,3489804193830,0.0290,31.9463,16.9809,48.9719,40,31
t0041,true,,3490054299133,3490054321892,3490070492238,3490070504037,3490072883918,0.0228,16.1703,2.3799,18.5848,40,31
t0042,true,,3490323090199,3490323118147,3490368022540,3490368039584,3490371912822,0.0279,44.9044,3.8732,48.8226,40,31
t0043,true,,3490622148856,3490622182737,3490636678234,3490636690068,3490645447366,0.0339,14.4955,8.7573,23.2985,40,31
t0044,true,,3490895551174,3490895572699,3490923724704,3490923740057,3490926920253,0.0215,28.1520,3.1802,31.3691,40,31
