phase,direction,trial,outcome,ack
D1,cane_kex,1,OK,K_cane_received
D2,phone_kex,1,OK,K_phone_received
D3,phone_to_cane,1,REJECTED,READY
D3,phone_to_cane,2,REJECTED,READY
D3,phone_to_cane,3,REJECTED,READY
D3,phone_to_cane,4,REJECTED,READY
D3,phone_to_cane,5,REJECTED,READY
D3,phone_to_cane,6,REJECTED,READY
D3,phone_to_cane,7,REJECTED,READY
D3,phone_to_cane,8,REJECTED,READY
D3,phone_to_cane,9,REJECTED,READY
D3,phone_to_cane,10,REJECTED,READY
D3,phone_to_cane,11,REJECTED,READY
D3,phone_to_cane,12,REJECTED,READY
D3,phone_to_cane,13,REJECTED,READY
D3,phone_to_cane,14,REJECTED,READY
D3,phone_to_cane,15,REJECTED,READY
D3,phone_to_cane,16,REJECTED,READY
D3,phone_to_cane,17,REJECTED,READY
D3,phone_to_cane,18,REJECTED,READY
D3,phone_to_cane,19,REJECTED,READY
D3,phone_to_cane,20,REJECTED,READY
D3,phone_to_cane,21,REJECTED,READY
D3,phone_to_cane,22,REJECTED,READY
D3,phone_to_cane,23,REJECTED,READY
D3,phone_to_cane,24,REJECTED,READY
D3,phone_to_cane,25,REJECTED,READY
D3,phone_to_cane,26,REJECTED,READY
D3,phone_to_cane,27,REJECTED,READY
D3,phone_to_cane,28,REJECTED,READY
D3,phone_to_cane,29,REJECTED,READY
D3,phone_to_cane,30,REJECTED,READY
D3,cane_to_phone,1,REJECTED,READY
D3,cane_to_phone,2,REJECTED,READY
D3,cane_to_phone,3,REJECTED,READY
D3,cane_to_phone,4,REJECTED,READY
D3,cane_to_phone,5,REJECTED,READY
D3,cane_to_phone,6,REJECTED,READY
D3,cane_to_phone,7,REJECTED,READY
D3,cane_to_phone,8,REJECTED,READY
D3,cane_to_phone,9,REJECTED,READY
D3,cane_to_phone,10,REJECTED,READY
D3,cane_to_phone,11,REJECTED,READY
D3,cane_to_phone,12,REJECTED,READY
D3,cane_to_phone,13,REJECTED,READY
D3,cane_to_phone,14,REJECTED,READY
D3,cane_to_phone,15,REJECTED,READY
D3,cane_to_phone,16,REJECTED,READY
D3,cane_to_phone,17,REJECTED,READY
D3,cane_to_phone,18,REJECTED,READY
D3,cane_to_phone,19,REJECTED,READY
D3,cane_to_phone,20,REJECTED,READY
D3,cane_to_phone,21,REJECTED,READY
D3,cane_to_phone,22,REJECTED,READY
D3,cane_to_phone,23,REJECTED,READY
D3,cane_to_phone,24,REJECTED,READY
D3,cane_to_phone,25,REJECTED,READY
D3,cane_to_phone,26,REJECTED,READY
D3,cane_to_phone,27,REJECTED,READY
D3,cane_to_phone,28,REJECTED,READY
D3,cane_to_phone,29,REJECTED,READY
D3,cane_to_phone,30,REJECTED,READY
