test_id,description,expected,actual,pass,note
A1.000,plaintext_size=0,pkt=28 nonce=12 ct=0 tag=16 recv=ok,pkt=28 nonce=12 ct=0 tag=16 recv=ok,True,
A1.001,plaintext_size=1,pkt=29 nonce=12 ct=1 tag=16 recv=ok,pkt=29 nonce=12 ct=1 tag=16 recv=ok,True,
A1.015,plaintext_size=15,pkt=43 nonce=12 ct=15 tag=16 recv=ok,pkt=43 nonce=12 ct=15 tag=16 recv=ok,True,
A1.016,plaintext_size=16,pkt=44 nonce=12 ct=16 tag=16 recv=ok,pkt=44 nonce=12 ct=16 tag=16 recv=ok,True,
A1.017,plaintext_size=17,pkt=45 nonce=12 ct=17 tag=16 recv=ok,pkt=45 nonce=12 ct=17 tag=16 recv=ok,True,
A1.031,plaintext_size=31,pkt=59 nonce=12 ct=31 tag=16 recv=ok,pkt=59 nonce=12 ct=31 tag=16 recv=ok,True,
A1.032,plaintext_size=32,pkt=60 nonce=12 ct=32 tag=16 recv=ok,pkt=60 nonce=12 ct=32 tag=16 recv=ok,True,
A1.063,plaintext_size=63,pkt=91 nonce=12 ct=63 tag=16 recv=ok,pkt=91 nonce=12 ct=63 tag=16 recv=ok,True,
A1.064,plaintext_size=64,pkt=92 nonce=12 ct=64 tag=16 recv=ok,pkt=92 nonce=12 ct=64 tag=16 recv=ok,True,
A1.127,plaintext_size=127,pkt=155 nonce=12 ct=127 tag=16 recv=ok,pkt=155 nonce=12 ct=127 tag=16 recv=ok,True,
A1.128,plaintext_size=128,pkt=156 nonce=12 ct=128 tag=16 recv=ok,pkt=156 nonce=12 ct=128 tag=16 recv=ok,True,
A1.399,plaintext_size=399,pkt=427 nonce=12 ct=399 tag=16 recv=ok,pkt=427 nonce=12 ct=399 tag=16 recv=ok,True,
A1.400,plaintext_size=400,pkt=428 nonce=12 ct=400 tag=16 recv=ok,pkt=428 nonce=12 ct=400 tag=16 recv=ok,True,
A1.over,plaintext_size=MAX+1=401,ChannelException,ChannelException,True,
A1.rxover,receive packet len=429 > MAX_PACKET_SIZE,None,None,True,
A2.first_ini,first initiator send nonce=2,2,2,True,
A2.first_res,first responder send nonce=3,3,3,True,
A2.incr2,initiator nonce increments by 2 each send,"diffs=[2,2,2,2]","diffs=[2, 2, 2, 2]",True,
A2.parity_ini,initiator nonces all even,all even,"parities=[0, 0, 0, 0, 0]",True,
A2.parity_res,responder nonces all odd,all odd,"parities=[1, 1, 1, 1, 1]",True,
A2.le12,counter=2 serialises to 12-byte LE (02 + 11 zeros),020000000000000000000000,020000000000000000000000,True,
A2.strict_cmp,"replay rejected (same counter, strict >)",None,None,True,
A2.rewind,older packet after newer accepted → rejected,None,None,True,
A2.ser.0xff,counter=0xff 12B LE round-trip,len=12 val=0xff,len=12 val=0xff,True,
A2.ser.0x100,counter=0x100 12B LE round-trip,len=12 val=0x100,len=12 val=0x100,True,
A2.ser.0xffff,counter=0xffff 12B LE round-trip,len=12 val=0xffff,len=12 val=0xffff,True,
A2.ser.0x10000,counter=0x10000 12B LE round-trip,len=12 val=0x10000,len=12 val=0x10000,True,
A2.ser.0xffffffff,counter=0xffffffff 12B LE round-trip,len=12 val=0xffffffff,len=12 val=0xffffffff,True,
A2.ser.0x100000000,counter=0x100000000 12B LE round-trip,len=12 val=0x100000000,len=12 val=0x100000000,True,
A2.ser.0xffffffffffffffff,counter=0xffffffffffffffff 12B LE round-trip,len=12 val=0xffffffffffffffff,len=12 val=0xffffffffffffffff,True,
A2.ser.0x10000000000000000,counter=0x10000000000000000 12B LE round-trip,len=12 val=0x10000000000000000,len=12 val=0x10000000000000000,True,
A2.exhaust,counter exhaustion at 2^96 raises ChannelException,ChannelException,ChannelException,True,
A2.exhaust_nonce,penultimate nonce = 2^96-2 = 0xfffffffffffffffffffffffe,0xfffffffffffffffffffffffe,0xfffffffffffffffffffffffe,True,
A2.skip_ok,higher valid counter accepted after skip (nonce=6 after seqRecv=1),msg2,b'msg2',True,
A2.skip_stale,lower counter after skip rejected (nonce=4 after seqRecv=6),None,None,True,
A2.skip_next,next valid counter accepted after skip (nonce=8),msg3,b'msg3',True,
A3.empty,empty packet rejected,None,None,True,
A3.short_nonce,packet with 10-byte nonce (< 28B total) rejected,None,None,True,
A3.short27,27-byte packet (one short of minimum) rejected,None,None,True,
A3.min28,28-byte packet (empty plaintext) accepted,b'',b'',True,
A3.no_tag,packet with truncated/missing tag rejected,None,None,True,
A3.trunc_ct,packet with truncated ciphertext rejected,None,None,True,
A3.oversized,packet > MAX_PACKET_SIZE=428 rejected,None,None,True,
A3.bad_pv,incompatible protocol version raises ChannelException,ChannelException,ChannelException,True,
A3.corrupt,corrupted state file raises ChannelException,ChannelException,ChannelException,True,
A3.eid_mismatch,endpoint_id mismatch raises ChannelException,ChannelException,ChannelException,True,
A3.tamper_ct,tampered ciphertext byte → None (GCM auth failure),None,None,True,
A3.tamper_tag,tampered GCM tag byte → None,None,None,True,
A3.tamper_nonce,tampered nonce (parity flip) → None,None,None,True,
A4.vec_pkt,"zero-key initiator pt=b""test"" → exact test vector packet",020000000000000000000000bb3af9b4d81a74113b0c7c232afe5b00cac5095a,020000000000000000000000bb3af9b4d81a74113b0c7c232afe5b00cac5095a,True,
A4.vec_recv,"responder decrypts test vector → b""test""",b'test',b'test',True,
A4.vec_replay,test vector replay rejected,None,None,True,
