trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0001,0.5m_los,True,223.403,True,2602.722,True,256.67,True,90.152,True,3177.461,,
J_0002,0.5m_los,True,275.796,True,2640.952,True,257.263,True,90.135,True,3269.322,,
J_0003,0.5m_los,True,15.517,True,2630.699,True,258.396,True,89.968,True,2999.204,,
J_0004,0.5m_los,True,375.556,True,2676.467,True,256.509,True,90.065,True,3404.168,,
J_0005,0.5m_los,True,67.184,True,4694.452,True,257.94,True,134.864,True,5158.644,,
J_0006,0.5m_los,True,487.535,True,2606.946,True,260.295,True,90.276,True,3448.898,,
J_0007,0.5m_los,True,47.381,True,4984.886,True,257.046,True,89.868,True,5383.493,,
J_0008,0.5m_los,True,595.224,True,2635.49,True,302.904,True,90.169,True,3629.042,,
J_0009,0.5m_los,True,1685.969,True,3344.783,True,302.483,True,90.114,True,5428.574,,
J_0010,0.5m_los,True,760.855,True,2604.548,True,258.713,True,90.065,True,3718.586,,
J_0011,0.5m_los,True,2527.608,True,2638.99,True,256.201,True,90.108,True,5518.762,,
J_0012,0.5m_los,True,869.539,True,2631.059,True,302.401,True,90.144,True,3898.429,,
J_0013,0.5m_los,True,966.977,True,3389.756,True,255.276,True,91.095,True,4708.092,,
J_0014,0.5m_los,True,1738.401,True,2618.138,True,256.107,True,89.871,True,4707.879,,
J_0015,0.5m_los,True,1056.057,True,2668.098,True,259.827,True,89.771,True,4077.966,,
J_0016,0.5m_los,True,1866.559,True,2669.41,True,257.56,True,90.274,True,4889.111,,
J_0017,0.5m_los,True,198.431,True,3348.546,True,257.388,True,89.835,True,3898.889,,
J_0018,0.5m_los,True,253.709,True,2660.892,True,260.574,True,90.31,True,3268.948,,
J_0019,0.5m_los,True,1324.8,True,2625.996,True,258.119,True,90.26,True,4303.644,,
J_0020,0.5m_los,True,48.22,True,2733.5,True,259.194,True,90.047,True,3134.465,,
J_0021,0.5m_los,True,450.08,True,4671.096,True,259.093,True,133.878,True,5518.487,,
J_0022,0.5m_los,True,50.183,True,2101.22,True,303.881,True,89.219,True,2549.576,,
J_0023,0.5m_los,True,44.485,True,2870.84,True,259.105,True,90.111,True,3268.521,,
J_0024,0.5m_los,True,611.072,True,3384.662,True,303.212,True,90.217,True,4393.244,,
J_0025,0.5m_los,True,683.215,True,2592.453,True,304.383,True,90.019,True,3673.667,,
J_0026,0.5m_los,True,68.071,True,4376.971,True,258.682,True,89.939,True,4797.998,,
J_0027,0.5m_los,True,1517.198,True,2660.475,True,257.449,True,135.102,True,4574.408,,
J_0028,0.5m_los,True,895.726,True,3325.478,True,303.058,True,180.242,True,4709.546,,
J_0029,0.5m_los,True,932.187,True,3380.281,True,525.024,True,90.32,True,4933.043,,
J_0030,0.5m_los,True,38.366,True,2562.539,True,302.174,True,90.122,True,2998.78,,
J_0031,0.5m_los,True,1045.317,True,6684.546,True,258.302,True,89.154,True,8081.62,,
J_0032,0.5m_los,True,1139.828,True,2585.985,True,258.374,True,90.141,True,4078.977,,
J_0033,0.5m_los,True,1244.374,True,2615.556,True,260.087,True,90.115,True,4213.862,,
J_0034,0.5m_los,True,1276.577,True,3348.221,True,259.898,True,90.297,True,4978.665,,
J_0035,0.5m_los,True,341.202,True,2620.204,True,258.175,True,90.119,True,3313.541,,
J_0036,0.5m_los,True,94.991,True,6647.077,True,258.006,True,90.366,True,7094.612,,
J_0037,0.5m_los,True,492.097,True,2601.817,True,260.3,True,90.471,True,3448.208,,
J_0038,0.5m_los,True,245.554,True,2624.535,True,258.918,True,90.161,True,3223.207,,
J_0039,0.5m_los,True,632.048,True,3318.077,True,258.431,True,91.392,True,4304.587,,
J_0040,0.5m_los,True,666.569,True,3330.547,True,257.747,True,89.983,True,4349.635,,
J_0041,0.5m_los,True,1450.572,True,2634.738,True,258.988,True,89.714,True,4437.838,,
J_0042,0.5m_los,True,767.226,True,2598.885,True,258.146,True,89.091,True,3718.136,,
J_0043,0.5m_los,True,866.372,True,5378.687,True,258.544,True,91.277,True,6599.403,,
J_0044,0.5m_los,True,916.838,True,2630.167,True,257.314,True,91.167,True,3899.331,,
J_0045,0.5m_los,True,1024.715,True,2611.75,True,256.767,True,88.85,True,3987.88,,
J_0046,0.5m_los,True,3078.374,True,2630.36,True,256.65,True,91.049,True,6060.787,,
J_0047,0.5m_los,True,1150.429,True,2621.751,True,304.314,True,89.312,True,4169.563,,
J_0048,0.5m_los,True,1232.367,True,3351.128,True,255.791,True,90.164,True,4934.644,,
J_0049,0.5m_los,True,1002.287,True,2633.733,True,259.318,True,90.131,True,3989.851,,
J_0050,0.5m_los,True,363.466,True,2598.877,True,302.571,True,89.813,True,3359.457,,
J_0051,0.5m_los,True,52.761,True,1967.655,True,299.418,True,90.178,True,2414.623,,
J_0052,0.5m_los,True,60.274,True,1955.484,True,304.639,True,90.034,True,2414.525,,
J_0053,0.5m_los,True,73.168,True,2753.529,True,303.519,True,90.11,True,3224.096,,
J_0054,0.5m_los,True,1248.145,True,3919.66,True,301.579,True,90.093,True,5564.186,,
J_0055,0.5m_los,True,315.952,True,3905.279,True,302.818,True,90.427,True,4619.137,,
J_0056,0.5m_los,True,1699.921,True,2611.632,True,302.748,True,134.904,True,4753.903,,
J_0057,0.5m_los,True,2780.829,True,3375.536,True,303.543,True,89.821,True,6553.924,,
J_0058,0.5m_los,True,816.746,True,4617.768,True,304.546,True,89.996,True,5833.347,,
J_0059,0.5m_los,True,891.265,True,3376.382,True,301.594,True,90.073,True,4664.419,,
J_0060,0.5m_los,True,954.859,True,6642.119,True,437.403,True,178.304,True,8216.759,,
J_0061,0.5m_los,True,1073.552,True,3373.4,True,527.969,True,179.862,True,5159.308,,
J_0062,0.5m_los,True,134.377,True,3367.645,True,258.367,True,90.205,True,3854.509,,
J_0063,0.5m_los,True,222.54,True,2604.434,True,305.098,True,88.188,True,3224.661,,
