trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0001,2m_los,True,389.139,True,2603.625,True,304.025,True,89.838,True,3390.889,,
J_0002,2m_los,True,882.424,True,2616.035,True,304.947,True,90.059,True,3898.086,,
J_0003,2m_los,True,962.377,True,3396.154,True,256.934,True,90.061,True,4709.823,,
J_0004,2m_los,True,1020.027,True,2616.138,True,303.077,True,90.045,True,4033.613,,
J_0005,2m_los,True,1084.611,True,2687.031,True,303.818,True,90.03,True,4169.578,,
J_0006,2m_los,True,1117.729,True,3372.252,True,304.089,True,90.2,True,4888.482,,
J_0007,2m_los,True,919.811,True,3930.04,True,302.541,True,89.964,True,5248.243,,
J_0008,2m_los,True,2000.61,True,3884.811,True,304.355,True,134.317,True,6328.157,,
J_0009,2m_los,True,44.77,True,2647.071,True,302.544,True,90.972,True,3089.159,,
J_0010,2m_los,True,427.739,True,4691.785,True,304.34,True,89.996,True,5517.975,,
J_0011,2m_los,True,47.417,True,2058.258,True,304.089,True,90.021,True,2503.499,,
J_0012,2m_los,True,1546.274,True,3394.592,True,391.36,True,227.153,True,5565.486,,
J_0013,2m_los,True,603.552,True,2624.946,True,260.145,True,89.845,True,3583.214,,
J_0014,2m_los,True,67.62,True,2938.656,True,347.855,True,89.462,True,3448.388,,
J_0015,2m_los,True,1447.707,True,2637.885,True,258.592,True,90.208,True,4438.79,,
J_0016,2m_los,True,767.822,True,6648.572,True,302.215,True,91.277,True,7814.72,,
J_0017,2m_los,True,889.447,True,4637.908,True,301.867,True,90.124,True,5923.873,,
J_0018,2m_los,True,977.244,True,2613.994,True,302.765,True,90.106,True,3988.686,,
J_0019,2m_los,True,1037.345,True,2598.757,True,304.329,True,90.178,True,4034.774,,
J_0020,2m_los,True,1090.831,True,2635.523,True,257.621,True,90.071,True,4078.593,,
J_0021,2m_los,True,3172.785,True,2625.289,True,256.021,True,91.14,True,6149.401,,
J_0022,2m_los,True,1234.619,True,4697.069,True,258.346,True,90.168,True,6284.407,,
J_0023,2m_los,True,1322.712,True,2674.318,True,302.406,True,90.041,True,4393.094,,
J_0024,2m_los,True,48.057,True,1921.895,True,304.616,True,89.197,True,2367.942,,
J_0025,2m_los,True,58.662,True,2722.391,True,302.335,True,90.075,True,3177.967,,
J_0026,2m_los,True,465.022,True,2631.299,True,259.32,True,90.222,True,3449.637,,
J_0027,2m_los,True,59.825,True,2090.348,True,259.13,True,90.045,True,2503.116,,
J_0028,2m_los,True,49.07,True,4126.451,True,302.705,True,91.381,True,4573.891,,
J_0029,2m_los,True,51.403,True,2190.444,True,256.835,True,91.34,True,2594.719,,
J_0030,2m_los,True,61.288,True,4971.671,True,256.579,True,91.208,True,5385.643,,
J_0031,2m_los,True,759.645,True,2605.14,True,305.167,True,91.119,True,3764.763,,
J_0032,2m_los,True,2829.848,True,3370.959,True,303.855,True,91.302,True,6599.674,,
J_0033,2m_los,True,895.039,True,3370.989,True,303.629,True,90.159,True,4664.436,,
J_0034,2m_los,True,958.341,True,3352.542,True,303.298,True,90.184,True,4709.533,,
J_0035,2m_los,True,56.35,True,4615.655,True,302.355,True,90.093,True,5069.203,,
J_0036,2m_los,True,1115.52,True,3329.686,True,257.594,True,90.064,True,4798.95,,
J_0037,2m_los,True,164.661,True,2753.824,True,256.577,True,89.907,True,3269.555,,
