trial_id,condition,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_reason
JS_0001,2m_los,True,77.994,True,89.999,True,168.008,
JS_0002,2m_los,True,80.976,True,88.199,True,169.194,
JS_0003,2m_los,True,79.949,True,90.467,True,170.434,
JS_0004,2m_los,True,78.358,True,89.935,True,168.309,
JS_0005,2m_los,True,79.131,True,90.18,True,169.326,
JS_0006,2m_los,True,78.893,True,90.328,True,169.237,
JS_0007,2m_los,True,79.061,True,90.058,True,169.136,
JS_0008,2m_los,True,79.205,True,90.071,True,169.291,
JS_0009,2m_los,True,79.134,True,90.003,True,169.152,
JS_0010,2m_los,True,78.947,True,90.049,True,169.013,
JS_0011,2m_los,True,79.356,True,90.049,True,169.42,
JS_0012,2m_los,True,79.482,True,89.874,True,169.368,
JS_0013,2m_los,True,79.177,True,90.251,True,169.442,
JS_0014,2m_los,True,79.299,True,91.022,True,170.337,
JS_0015,2m_los,True,78.503,True,91.089,True,169.607,
JS_0016,2m_los,True,78.097,True,90.181,True,168.293,
JS_0017,2m_los,True,79.062,True,90.215,True,169.293,
JS_0018,2m_los,True,79.085,True,90.38,True,169.479,
JS_0019,2m_los,True,78.976,True,90.215,True,169.202,
JS_0020,2m_los,True,79.169,True,90.072,True,169.257,
JS_0021,2m_los,True,79.37,True,90.044,True,169.429,
JS_0022,2m_los,True,79.163,True,90.288,True,169.468,
JS_0023,2m_los,True,78.997,True,90.362,True,169.374,
JS_0024,2m_los,True,79.066,True,90.123,True,169.201,
JS_0025,2m_los,True,78.825,True,90.1,True,168.94,
JS_0026,2m_los,True,79.748,True,90.122,True,169.886,
JS_0027,2m_los,True,78.811,True,90.212,True,169.039,
JS_0028,2m_los,True,79.337,True,90.045,True,169.395,
JS_0029,2m_los,True,79.29,True,89.621,True,168.926,
JS_0030,2m_los,True,169.646,True,89.988,True,259.648,
JS_0031,2m_los,True,79.145,True,90.107,True,169.265,
JS_0032,2m_los,True,80.179,True,89.075,True,169.27,
JS_0033,2m_los,True,79.929,True,89.173,True,169.115,
JS_0034,2m_los,True,79.004,True,90.096,True,169.116,
JS_0035,2m_los,True,79.442,True,89.934,True,169.391,
JS_0036,2m_los,True,79.176,True,90.021,True,169.213,
JS_0037,2m_los,True,79.058,True,89.998,True,169.073,
JS_0038,2m_los,True,79.059,True,90.083,True,169.158,
JS_0039,2m_los,True,79.018,True,89.977,True,169.011,
JS_0040,2m_los,True,79.261,True,90.043,True,169.32,
JS_0041,2m_los,True,80.112,True,89.344,True,169.473,
JS_0042,2m_los,True,79.371,True,90.193,True,169.577,
JS_0043,2m_los,True,79.235,True,90.282,True,169.528,
JS_0044,2m_los,True,79.449,True,89.437,True,168.9,
JS_0045,2m_los,True,79.77,True,90.017,True,169.798,
JS_0046,2m_los,True,79.184,True,90.191,True,169.389,
JS_0047,2m_los,True,79.407,True,89.911,True,169.33,
JS_0048,2m_los,True,79.418,True,89.918,True,169.348,
JS_0049,2m_los,True,79.104,True,90.246,True,169.363,
JS_0050,2m_los,True,79.183,True,90.053,True,169.25,
JS_0051,2m_los,True,79.243,True,90.062,True,169.319,
JS_0052,2m_los,True,79.225,True,89.13,True,168.368,
JS_0053,2m_los,True,80.196,True,89.968,True,170.176,
JS_0054,2m_los,True,78.898,True,90.649,True,169.563,
JS_0055,2m_los,True,79.284,True,89.924,True,169.221,
JS_0056,2m_los,True,79.426,True,90.072,True,169.51,
JS_0057,2m_los,True,79.092,True,90.251,True,169.356,
JS_0058,2m_los,True,79.292,True,90.063,True,169.37,
JS_0059,2m_los,True,79.405,True,90.068,True,169.486,
JS_0060,2m_los,True,79.13,True,89.932,True,169.074,
JS_0061,2m_los,True,79.242,True,90.218,True,169.472,
JS_0062,2m_los,True,79.192,True,90.183,True,169.387,
JS_0063,2m_los,True,79.198,True,90.037,True,169.248,
JS_0064,2m_los,True,79.072,True,90.355,True,169.439,
JS_0065,2m_los,True,78.938,True,90.281,True,169.232,
JS_0066,2m_los,True,78.872,True,90.463,True,169.356,
