trial_id,condition,scan_success,scan_ms,connect_success,connect_ms,write_success,write_ms,ack_success,ack_wait_ms,total_success,total_ms,failure_stage,failure_reason
J_0001,7m_wall,True,681.4,True,4607.788,True,294.986,True,90.186,True,5678.793,,
J_0002,7m_wall,True,1140.194,True,3469.275,True,229.345,True,90.324,True,4933.84,,
J_0003,7m_wall,True,186.739,True,3557.039,True,240.554,True,89.93,True,4078.519,,
J_0004,7m_wall,True,981.89,True,6670.323,True,336.237,True,90.008,True,8083.523,,
J_0005,7m_wall,True,1073.969,True,4633.759,True,255.618,True,90.432,True,6058.439,,
J_0006,7m_wall,True,2443.217,True,2601.521,True,337.128,True,89.229,True,5475.86,,
J_0007,7m_wall,True,209.353,True,4025.021,True,245.018,True,90.075,True,4574.556,,
J_0008,7m_wall,True,62.347,True,4904.575,True,231.343,True,90.092,True,5293.001,,
J_0009,7m_wall,True,616.178,True,3353.0,True,239.531,True,91.314,True,4304.404,,
J_0010,7m_wall,True,717.154,True,5358.691,True,338.774,True,90.249,True,6509.564,,
J_0011,7m_wall,True,2895.688,True,2647.965,True,239.533,True,90.165,True,5878.73,,
J_0012,7m_wall,True,1575.34,True,4636.203,True,292.377,True,90.887,True,6599.974,,
J_0013,7m_wall,True,1681.552,True,2644.603,True,243.124,True,90.083,True,4664.065,,
J_0014,7m_wall,True,987.164,True,6681.914,True,275.426,True,91.196,True,8040.678,,
J_0015,7m_wall,True,1126.451,True,2794.7,True,288.311,True,90.447,True,4304.678,,
J_0016,7m_wall,True,3152.816,True,7373.868,True,342.59,True,134.81,True,11008.972,,
J_0017,7m_wall,True,294.377,True,5432.795,True,283.266,True,89.993,True,6104.286,,
J_0018,7m_wall,True,339.881,True,2675.317,True,295.439,True,90.818,True,3405.461,,
J_0019,7m_wall,True,81.992,True,2757.948,True,335.588,True,89.836,True,3269.422,,
J_0020,7m_wall,True,500.308,True,4673.227,True,249.182,True,91.169,True,5518.728,,
J_0021,7m_wall,True,73.961,True,2082.385,True,253.232,True,90.291,True,2504.779,,
J_0022,7m_wall,True,1615.55,True,2651.721,True,257.322,True,89.883,True,4618.999,,
J_0023,7m_wall,True,51.805,True,2970.852,True,243.396,True,135.253,True,3404.754,,
J_0024,7m_wall,True,725.902,True,2653.356,True,245.299,True,90.169,True,3718.886,,
J_0025,7m_wall,True,486.261,True,3914.934,True,348.464,True,89.749,True,4844.199,,
J_0026,7m_wall,True,5611.885,True,3927.992,True,294.514,True,90.146,True,9928.777,,
