trial_id,action,scan_ms,connect_ms,key_exchange_ms,command_encrypt_ms,write_ms,ack_wait_ms,command_to_ack_ms,total_ms,success,failure_stage,failure_reason
F_0001,STAND_UP,3006.714,3459.58,723.227,0.112,82.639,90.973,173.742,7363.345,True,,
F_0002,STAND_UP,1512.003,2623.805,442.977,0.069,90.662,89.761,180.508,4759.384,True,,
F_0003,STAND_UP,3579.954,2626.625,399.133,0.066,90.69,89.94,180.716,6786.507,True,,
F_0004,STAND_UP,367.11,4624.582,444.028,0.065,89.275,89.746,179.102,5614.892,True,,
F_0005,STAND_UP,713.678,2611.935,399.561,0.062,88.798,179.818,268.693,3993.947,True,,
F_0006,STAND_UP,1800.133,5351.948,443.194,0.073,89.035,90.049,179.172,7774.528,True,,
F_0007,STAND_UP,853.254,3372.732,400.276,0.073,89.025,89.173,178.286,4804.626,True,,
F_0008,STAND_UP,907.534,2643.568,443.82,0.069,88.295,90.399,178.78,4173.785,True,,
F_0009,STAND_UP,558.203,2001.697,445.275,0.125,88.243,89.96,178.347,3183.625,True,,
F_0010,STAND_UP,736.05,5920.71,443.104,0.062,88.664,90.073,178.814,7278.781,True,,
F_0011,STAND_UP,1120.635,3374.929,400.239,0.071,88.783,90.878,179.748,5075.628,True,,
F_0012,STAND_UP,1172.347,3368.805,399.556,0.074,88.683,90.216,178.989,5119.772,True,,
F_0013,STAND_UP,1227.556,3359.46,398.69,0.132,88.364,90.054,178.573,5164.484,True,,
F_0014,STAND_UP,1310.262,2646.325,353.772,0.068,89.72,88.922,178.728,4489.165,True,,
F_0015,STAND_UP,47.99,2692.419,445.137,0.063,88.647,90.09,178.815,3364.438,True,,
F_0016,STAND_UP,558.438,3264.562,443.333,0.077,88.645,89.899,178.636,4445.045,True,,
F_0017,STAND_UP,599.881,4526.022,489.05,0.059,88.828,90.102,179.004,5794.034,True,,
F_0018,STAND_UP,260.29,2614.153,490.774,0.085,88.609,89.806,178.519,3543.846,True,,
F_0019,STAND_UP,1348.241,2607.609,489.608,0.284,88.038,90.24,178.585,4624.155,True,,
F_0020,STAND_UP,704.057,2578.076,488.365,0.076,88.487,90.076,178.655,3949.236,True,,
F_0021,STAND_UP,1748.41,3334.065,488.452,0.061,88.339,90.284,178.7,5749.707,True,,
F_0022,STAND_UP,4818.932,2602.357,488.233,0.127,88.822,89.778,178.747,8088.378,True,,
F_0023,STAND_UP,3908.992,6660.034,985.991,0.125,88.398,90.233,178.776,11733.923,True,,
F_0024,STAND_UP,1058.003,4605.77,401.215,0.058,88.615,90.028,178.715,6243.776,True,,
F_0025,STAND_UP,1073.356,8732.282,399.623,0.124,88.599,90.121,178.862,10384.22,True,,
F_0026,STAND_UP,5215.288,5357.643,397.633,0.234,88.139,90.09,178.488,11149.174,True,,
F_0027,STAND_UP,3376.199,2560.157,399.187,0.128,88.764,90.492,179.405,6515.054,True,,
