trial_id,action,T0_ns,T1_parse_ns,T3_validate_ns,T2_crypto_ns,T4_persist_ns,T5_forward_ns,T7_ack_set_ns,parse_ms,freshness_valid_ms,crypto_ms,persistence_ms,json_parse_ms,ack_set_ms,gateway_total_ms
H_0001,STAND_UP,17225420380169,17225420416731,17225420422200,17225425182716,17225438575316,17225438922083,17225439470357,0.0366,0.0055,4.7605,13.3926,0.3468,0.5483,19.0902
H_0002,STAND_UP,17225690085586,17225690125169,17225690130221,17225692247383,17225706268934,17225706596638,17225707100747,0.0396,0.0051,2.1172,14.0216,0.3277,0.5041,17.0152
H_0003,STAND_UP,17225960183915,17225960224696,17225960230060,17225962216547,17225976131328,17225976491532,17225976999703,0.0408,0.0054,1.9865,13.9148,0.3602,0.5082,16.8158
H_0004,STAND_UP,17226234521672,17226234563390,17226234568651,17226236674251,17226314338060,17226314754097,17226315253414,0.0417,0.0053,2.1056,77.6638,0.416,0.4993,80.7317
H_0005,STAND_UP,17226500439582,17226500481353,17226500486613,17226502326851,17226535599370,17226535928064,17226536481026,0.0418,0.0053,1.8402,33.2725,0.3287,0.553,36.0414
H_0006,STAND_UP,17226770081875,17226770122708,17226770127916,17226771971644,17226797779825,17226798115967,17226798614398,0.0408,0.0052,1.8437,25.8082,0.3361,0.4984,28.5325
H_0007,STAND_UP,17227085339351,17227085381382,17227085386694,17227087284692,17227113400578,17227113742761,17227114244734,0.042,0.0053,1.898,26.1159,0.3422,0.502,28.9054
H_0008,STAND_UP,17227355054820,17227355097372,17227355102892,17227356983703,17227382713135,17227383055266,17227383544010,0.0426,0.0055,1.8808,25.7294,0.3421,0.4887,28.4892
H_0009,STAND_UP,17227625148462,17227625179659,17227625182628,17227626875160,17227652796777,17227653094690,17227653583017,0.0312,0.003,1.6925,25.9216,0.2979,0.4883,28.4346
H_0010,STAND_UP,17227894968201,17227894995700,17227894998461,17227896869792,17227922742035,17227923039375,17227923527390,0.0275,0.0028,1.8713,25.8722,0.2973,0.488,28.5592
H_0011,STAND_UP,17228165080071,17228165109029,17228165111894,17228166818228,17228196739224,17228197038335,17228197532964,0.029,0.0029,1.7063,29.921,0.2991,0.4946,32.4529
H_0012,STAND_UP,17228434549606,17228434577991,17228434580804,17228436143024,17228462276722,17228462576406,17228463065931,0.0284,0.0028,1.5622,26.1337,0.2997,0.4895,28.5163
H_0013,STAND_UP,17228750016038,17228750043955,17228750046923,17228751740028,17228777941850,17228778235544,17228778733507,0.0279,0.003,1.6931,26.2018,0.2937,0.498,28.7175
H_0014,STAND_UP,17229020277439,17229020306709,17229020309730,17229021997939,17229048716473,17229049009647,17229049496308,0.0293,0.003,1.6882,26.7185,0.2932,0.4867,29.2189
H_0015,STAND_UP,17229290063480,17229290092438,17229290095198,17229291812626,17229318728449,17229319028550,17229319521461,0.029,0.0028,1.7174,26.9158,0.3001,0.4929,29.458
H_0016,STAND_UP,17229560226288,17229560255402,17229560258423,17229561944757,17229588650635,17229588945684,17229589435626,0.0291,0.003,1.6863,26.7059,0.295,0.4899,29.2093
H_0017,STAND_UP,17229874262529,17229874291487,17229874294196,17229875988811,17229902565315,17229902862239,17229903352546,0.029,0.0027,1.6946,26.5765,0.2969,0.4903,29.09
H_0018,STAND_UP,17230144732469,17230144758562,17230144761167,17230146250055,17230172776665,17230173052547,17230173498791,0.0261,0.0026,1.4889,26.5266,0.2759,0.4462,28.7663
H_0019,STAND_UP,17230414980068,17230415012046,17230415015119,17230416794369,17230447331243,17230447630198,17230448211545,0.032,0.0031,1.7792,30.5369,0.299,0.5813,33.2315
H_0020,STAND_UP,17230685048190,17230685077148,17230685080064,17230686761294,17230713231446,17230713523578,17230714008624,0.029,0.0029,1.6812,26.4702,0.2921,0.485,28.9604
H_0021,STAND_UP,17230955019750,17230955047406,17230955050323,17230956829468,17230983117122,17230983415244,17230983954716,0.0277,0.0029,1.7791,26.2877,0.2981,0.5395,28.935
H_0022,STAND_UP,17231225065893,17231225094434,17231225097455,17231226782591,17231252694833,17231252988788,17231253474563,0.0285,0.003,1.6851,25.9122,0.294,0.4858,28.4087
H_0023,STAND_UP,17231495114953,17231495144015,17231495147088,17231496924254,17231529231315,17231529528759,17231530021514,0.0291,0.0031,1.7772,32.3071,0.2974,0.4928,34.9066
H_0024,STAND_UP,17231765073024,17231765102503,17231765105680,17231766792743,17231792851962,17231793148052,17231793642057,0.0295,0.0032,1.6871,26.0592,0.2961,0.494,28.569
H_0025,STAND_UP,17232034667506,17232034693183,17232034695683,17232036269362,17232066806913,17232067104461,17232067591174,0.0257,0.0025,1.5737,30.5376,0.2975,0.4867,32.9237
H_0026,STAND_UP,17232305822386,17232305853062,17232305856031,17232307611895,17232334396887,17232334712040,17232335213440,0.0307,0.003,1.7559,26.785,0.3152,0.5014,29.3911
H_0027,STAND_UP,17232572919293,17232572936533,17232572937939,17232573781158,17232602291129,17232602481127,17232602767374,0.0172,0.0014,0.8432,28.51,0.19,0.2862,29.8481
H_0028,STAND_UP,17232842756950,17232842773668,17232842775022,17232844508127,17232869051114,17232869241737,17232869526994,0.0167,0.0014,1.7331,24.543,0.1906,0.2853,26.77
H_0029,STAND_UP,17233112874707,17233112891790,17233112893144,17233113735217,17233138207008,17233138395235,17233138679398,0.0171,0.0014,0.8421,24.4718,0.1882,0.2842,25.8047
H_0030,STAND_UP,17233382858090,17233382875903,17233382877361,17233383743028,17233538937473,17233539132210,17233539418456,0.0178,0.0015,0.8657,155.1944,0.1947,0.2862,156.5604
H_0031,STAND_UP,17233697839998,17233697857446,17233697858852,17233698704780,17233727821046,17233728039272,17233728322498,0.0174,0.0014,0.8459,29.1163,0.2182,0.2832,30.4825
H_0032,STAND_UP,17233967754945,17233967773278,17233967774737,17233968708528,17233994151765,17233994348273,17233994636082,0.0183,0.0015,0.9338,25.4432,0.1965,0.2878,26.8811
H_0033,STAND_UP,17234237837963,17234237854942,17234237856244,17234238705609,17234263996661,17234264212440,17234264496759,0.017,0.0013,0.8494,25.2911,0.2158,0.2843,26.6588
H_0034,STAND_UP,17234507810306,17234507830566,17234507832076,17234508766492,17234533826609,17234534017961,17234534302697,0.0203,0.0015,0.9344,25.0601,0.1914,0.2847,26.4924
H_0035,STAND_UP,17234777745513,17234777763221,17234777764628,17234778602951,17234804571859,17234804759148,17234805047166,0.0177,0.0014,0.8383,25.9689,0.1873,0.288,27.3017
H_0036,STAND_UP,17235047888427,17235047906135,17235047907593,17235048828832,17235074537847,17235074730137,17235075011904,0.0177,0.0015,0.9212,25.709,0.1923,0.2818,27.1235
H_0037,STAND_UP,17235317768322,17235317785718,17235317786968,17235318631541,17235344162330,17235344350192,17235344635084,0.0174,0.0013,0.8446,25.5308,0.1879,0.2849,26.8668
H_0038,STAND_UP,17235587834935,17235587852903,17235587854257,17235588784142,17235615160077,17235615349658,17235615634706,0.018,0.0014,0.9299,26.3759,0.1896,0.285,27.7998
H_0039,STAND_UP,17235857770455,17235857788476,17235857789882,17235858631018,17235891978223,17235892195251,17235892483894,0.018,0.0014,0.8411,33.3472,0.217,0.2886,34.7134
H_0040,STAND_UP,17236127927535,17236127944566,17236127945972,17236128853149,17236156061573,17236156249748,17236156528755,0.017,0.0014,0.9072,27.2084,0.1882,0.279,28.6012
H_0041,STAND_UP,17236398491225,17236398509818,17236398511120,17236399370641,17236426579587,17236426767918,17236427050831,0.0186,0.0013,0.8595,27.2089,0.1883,0.2829,28.5596
H_0042,STAND_UP,17236667813836,17236667830398,17236667831700,17236668760595,17236695506213,17236695694700,17236695978968,0.0166,0.0013,0.9289,26.7456,0.1885,0.2843,28.1651
H_0043,STAND_UP,17236937766127,17236937783002,17236937784304,17236938628200,17236965487618,17236965672929,17236965955738,0.0169,0.0013,0.8439,26.8594,0.1853,0.2828,28.1896
H_0044,STAND_UP,17237207743157,17237207760813,17237207762115,17237208697052,17237235612355,17237235802978,17237236136151,0.0177,0.0013,0.9349,26.9153,0.1906,0.3332,28.393
H_0045,STAND_UP,17237479959015,17237479988025,17237479990786,17237481787639,17237509989385,17237510286621,17237510778334,0.029,0.0028,1.7969,28.2017,0.2972,0.4917,30.8193
H_0046,STAND_UP,17237750047711,17237750077606,17237750080679,17237751766336,17237782910860,17237783208252,17237783698610,0.0299,0.0031,1.6857,31.1445,0.2974,0.4904,33.6509
H_0047,STAND_UP,17238020409893,17238020440518,17238020443591,17238022178622,17238127206740,17238127490539,17238127931940,0.0306,0.0031,1.735,105.0281,0.2838,0.4414,107.522
H_0048,STAND_UP,17238334923058,17238334952276,17238334955349,17238336928606,17238438394059,17238438709212,17238439198477,0.0292,0.0031,1.9733,101.4655,0.3152,0.4893,104.2754
H_0049,STAND_UP,17238604727278,17238604754517,17238604757225,17238606235124,17238707566568,17238707877450,17238708490672,0.0272,0.0027,1.4779,101.3314,0.3109,0.6132,103.7634
H_0050,STAND_UP,17238874554935,17238874581237,17238874583945,17238876220593,17238977391361,17238977702712,17238978192758,0.0263,0.0027,1.6366,101.1708,0.3114,0.49,103.6378
H_0051,STAND_UP,17239145255760,17239145285447,17239145288415,17239146978343,17239249585918,17239249902893,17239250930120,0.0297,0.003,1.6899,102.6076,0.317,1.0272,105.6744
H_0052,STAND_UP,17239415042636,17239415071594,17239415074407,17239416857094,17239520691789,17239521008764,17239521504019,0.029,0.0028,1.7827,103.8347,0.317,0.4953,106.4614
H_0053,STAND_UP,17239684611026,17239684637536,17239684640245,17239686120487,17239787422609,17239787738855,17239788351869,0.0265,0.0027,1.4802,101.3021,0.3162,0.613,103.7408
H_0054,STAND_UP,17240001993271,17240002025667,17240002029052,17240003737730,17240105219120,17240105511460,17240105952757,0.0324,0.0034,1.7087,101.4814,0.2923,0.4413,103.9595
H_0055,STAND_UP,17240269639601,17240269666788,17240269669236,17240271153125,17240323169950,17240323470832,17240323962545,0.0272,0.0024,1.4839,52.0168,0.3009,0.4917,54.3229
H_0056,STAND_UP,17240584529168,17240584559271,17240584562240,17240586261803,17240600157887,17240600451165,17240600937565,0.0301,0.003,1.6996,13.8961,0.2933,0.4864,16.4084
H_0057,STAND_UP,17240855030411,17240855058796,17240855061817,17240856927472,17240870892878,17240871182978,17240871672660,0.0284,0.003,1.8657,13.9654,0.2901,0.4897,16.6422
