trial_id,scan_ms,connect_ms,request_write_ms,server_process_ms,decrypt_ms,state_init_ms,kex_total_ms,t_request_sent_ns,t_key_available_ns,t_key_decrypted_ns,t_state_initialized_ns,success,failure_stage,failure_reason
I_0001,420.574,5431.643,580.917,90.106,6.611,0.018,677.662,33434406727311,33434496833269,33434503450780,33434503472666,True,,
I_0002,547.361,3272.913,308.673,90.149,0.226,0.018,399.075,33442146346314,33442236495213,33442236727367,33442236748608,True,,
I_0003,253.709,2623.268,307.513,89.787,0.202,0.016,397.527,33448221715242,33448311502031,33448311710649,33448311728838,True,,
I_0004,2591.851,2625.375,305.016,92.179,0.207,0.015,397.425,33457534810911,33457626989705,33457627202385,33457627219652,True,,
I_0005,371.413,2640.507,395.407,91.938,0.217,0.016,487.588,33464419818960,33464511757271,33464511981215,33464511999550,True,,
I_0006,682.921,2644.933,396.147,91.647,0.216,0.018,488.038,33471755586884,33471847233790,33471847455513,33471847477513,True,,
I_0007,1771.978,2636.698,397.271,90.162,0.211,0.016,487.669,33479811656186,33479901818480,33479902035694,33479902054444,True,,
I_0008,545.362,2601.506,398.242,91.14,0.291,0.037,489.721,33486561572798,33486652713007,33486653011781,33486653052328,True,,
I_0009,864.48,2598.321,398.528,89.886,0.298,0.039,488.763,33493897598870,33493987484781,33493987790919,33493987834429,True,,
I_0010,559.887,2722.479,397.383,90.041,0.219,0.027,487.679,33500691715836,33500781757124,33500781982558,33500782012486,True,,
I_0011,997.549,2601.157,441.684,90.175,0.541,0.02,532.439,33508071722962,33508161898456,33508162449892,33508162477846,True,,
I_0012,576.049,6126.705,847.402,90.051,0.328,0.036,937.831,33518556462887,33518646513759,33518646851196,33518646892428,True,,
I_0013,1111.493,2665.888,308.218,89.276,0.196,0.016,397.715,33526117545320,33526206821540,33526207023336,33526207042247,True,,
I_0014,550.613,7006.897,307.632,90.437,0.204,0.015,398.297,33536871468334,33536961905322,33536962115747,33536962132698,True,,
I_0015,1254.345,2612.798,351.899,90.498,0.284,0.033,442.726,33544251380310,33544341878647,33544342169671,33544342207699,True,,
I_0016,24.533,2671.083,308.519,90.399,0.21,0.016,399.153,33551046339277,33551136738220,33551136955716,33551136973586,True,,
I_0017,94.482,2603.044,306.881,90.385,0.281,0.129,397.688,33557031351169,33557121736202,33557122024155,33557122157987,True,,
I_0018,150.001,4661.828,352.995,90.126,0.201,0.015,443.346,33565176562243,33565266688621,33565266895409,33565266912474,True,,
I_0019,565.856,2580.377,307.924,90.049,0.197,0.015,398.194,33572466617022,33572556665527,33572556869740,33572556887202,True,,
I_0020,260.801,4729.424,353.96,89.933,0.186,0.015,444.103,33581376770448,33581466703285,33581466895877,33581466913206,True,,
I_0021,611.405,2627.179,351.072,90.746,0.205,0.016,442.048,33588621955630,33588712701194,33588712912685,33588712930969,True,,
I_0022,440.639,4641.913,307.32,90.044,0.212,0.015,397.599,33597396753459,33597486796979,33597487015018,33597487032495,True,,
I_0023,715.42,2611.5,308.263,90.917,0.272,0.04,399.504,33604686422894,33604777339671,33604777619627,33604777663749,True,,
I_0024,1811.374,2640.955,352.041,90.248,0.294,0.034,442.628,33612831543662,33612921791945,33612922092598,33612922130264,True,,
I_0025,560.992,4656.624,352.142,90.18,0.199,0.03,442.56,33621606609008,33621696789110,33621696994450,33621697026641,True,,
I_0026,926.639,3436.354,306.444,90.018,0.206,0.015,396.69,33629706690954,33629796708527,33629796920083,33629796937347,True,,
I_0027,984.231,2612.986,307.903,88.956,0.278,0.035,397.183,33636951491734,33637040447655,33637040733497,33637040772578,True,,
I_0028,2084.697,4617.134,352.697,89.937,0.275,0.034,442.954,33647076869174,33647166805809,33647167087972,33647167126443,True,,
I_0029,563.404,2312.163,399.78,88.933,0.275,0.023,489.024,33653287564969,33653376498250,33653376782319,33653376809225,True,,
I_0030,1186.123,2635.199,308.037,89.462,0.205,0.018,397.731,33661161870531,33661251332546,33661251544644,33661251564929,True,,
I_0031,1241.888,2625.197,306.743,89.845,0.212,0.019,396.83,33669216549776,33669306394498,33669306614549,33669306636362,True,,
I_0032,48.013,5935.396,305.859,90.033,0.186,0.016,396.103,33679296599675,33679386633049,33679386825780,33679386843770,True,,
I_0033,1383.76,4641.546,444.044,89.923,0.303,0.038,534.322,33689511634250,33689601557672,33689601868637,33689601912132,True,,
I_0034,1471.512,3337.72,399.377,179.996,0.197,0.016,579.594,33698241458146,33698421453710,33698421657254,33698421675683,True,,
I_0035,556.229,3399.413,354.516,90.169,0.34,0.046,445.09,33706341483330,33706431652195,33706431999472,33706432057338,True,,
I_0036,621.767,3425.883,352.689,90.164,0.188,0.015,443.065,33714441596394,33714531760535,33714531954879,33714531971788,True,,
I_0037,717.679,2654.109,398.324,90.06,0.206,0.018,488.617,33721776305323,33721866365357,33721866577474,33721866598703,True,,
I_0038,4517.379,2679.453,442.632,90.158,0.277,0.037,533.117,33732666477008,33732756634740,33732756919993,33732756961904,True,,
I_0039,867.655,3361.039,890.908,90.001,0.27,0.026,981.218,33741126667655,33741216669061,33741216947633,33741216977673,True,,
I_0040,1653.603,2662.559,308.685,89.613,0.237,0.018,398.564,33748642220882,33748731833611,33748732078060,33748732098916,True,,
I_0041,969.315,5372.59,352.577,89.2,0.198,0.016,441.999,33758721543484,33758810743668,33758810947551,33758810965290,True,,
I_0042,1062.708,7393.112,353.037,91.283,0.269,0.035,444.635,33770826352538,33770917635181,33770917911403,33770917950550,True,,
I_0043,1140.945,4660.131,307.84,91.421,0.286,0.022,399.58,33780141454607,33780232875944,33780233168884,33780233194309,True,,
I_0044,943.493,5936.891,308.944,90.926,0.198,0.016,400.093,33790221584507,33790312510195,33790312714899,33790312732994,True,,
I_0045,37.651,2614.702,351.555,91.088,0.194,0.015,442.861,33797016496978,33797107584640,33797107785697,33797107803130,True,,
I_0046,55.265,2684.886,308.965,90.514,0.206,0.016,399.709,33803091476415,33803181990272,33803182202335,33803182220397,True,,
I_0047,234.312,5791.219,354.189,89.076,0.277,0.04,443.594,33812407324875,33812496401066,33812496685559,33812496729838,True,,
I_0048,209.741,3927.489,353.702,89.483,0.306,0.04,443.545,33820507318167,33820596801151,33820597116212,33820597160408,True,,
I_0049,266.827,4634.14,355.216,89.987,0.269,0.031,445.517,33829282423811,33829372411053,33829372687924,33829372724424,True,,
I_0050,615.448,2620.401,353.236,91.375,0.299,0.042,444.965,33836616411391,33836707786516,33836708092731,33836708140048,True,,
I_0051,374.755,4662.058,352.876,89.929,0.22,0.018,443.055,33845436750571,33845526679371,33845526909108,33845526929657,True,,
I_0052,722.631,5395.228,351.52,89.997,0.195,0.017,441.736,33855516538519,33855606535069,33855606735770,33855606754726,True,,
I_0053,811.366,3369.882,353.173,91.058,0.193,0.015,444.447,33863571692182,33863662749857,33863662949162,33863662966899,True,,
I_0054,866.249,5384.874,352.601,89.609,0.205,0.016,442.442,33873651350550,33873740959821,33873741172303,33873741191187,True,,
I_0055,955.986,2683.71,309.288,136.619,0.21,0.017,446.144,33880986274766,33881122894171,33881123110635,33881123130732,True,,
I_0056,761.905,2608.367,353.442,89.941,0.216,0.017,443.627,33887736612343,33887826552918,33887826777562,33887826798062,True,,
I_0057,1068.2,2618.241,309.11,89.957,0.185,0.015,399.277,33895027756591,33895117714083,33895117906977,33895117923859,True,,
I_0058,564.882,2941.729,308.174,90.923,0.281,0.039,399.429,33901821609028,33901912532236,33901912820285,33901912863940,True,,
I_0059,1189.513,3350.695,354.825,90.227,0.203,0.016,445.28,33909922745688,33910012972882,33910013182204,33910013200450,True,,
I_0060,1241.581,4694.106,308.004,137.054,0.456,0.041,445.571,33919281714609,33919418768271,33919419233515,33919419280747,True,,
I_0061,42.92,4725.666,351.455,90.605,0.2,0.015,442.284,33928147316306,33928237920931,33928238127683,33928238145345,True,,
I_0062,103.74,3898.55,308.25,89.991,0.212,0.016,398.478,33935347887661,33935437878364,33935438096872,33935438115169,True,,
I_0063,154.761,2633.384,352.309,91.029,0.209,0.016,443.571,33942186732289,33942277761782,33942277976835,33942277994382,True,,
I_0064,548.154,4625.502,306.032,91.1,0.206,0.016,397.363,33951501738392,33951592838406,33951593051244,33951593069699,True,,
I_0065,1600.535,4786.382,352.931,90.632,0.203,0.017,443.794,33961761813328,33961852445646,33961852656120,33961852676326,True,,
I_0066,1685.489,2632.157,306.529,89.189,0.215,0.018,395.96,33969636648397,33969725837487,33969726059044,33969726079577,True,,
I_0067,472.231,2629.327,352.27,91.384,0.209,0.016,443.89,33976476526210,33976567910665,33976568127591,33976568146101,True,,
I_0068,762.427,3373.888,307.879,91.158,0.202,0.022,399.278,33984486616210,33984577773967,33984577991604,33984578015415,True,,
I_0069,1595.183,4700.091,308.854,91.307,0.197,0.016,400.382,33994611361317,33994702668407,33994702871566,33994702889808,True,,
I_0070,6961.276,2619.736,353.352,91.251,0.229,0.018,444.86,34007976573436,34008067824148,34008068061329,34008068081509,True,,
I_0071,555.675,4928.666,400.531,90.048,0.198,0.016,490.802,34016932727867,34017022775514,34017022980126,34017022998912,True,,
I_0072,1074.308,2612.402,397.671,92.076,0.205,0.015,489.977,34024131688256,34024223763898,34024223976764,34024223994447,True,,
I_0073,563.203,2223.694,440.672,92.71,0.307,0.045,533.749,34030249899088,34030342609335,34030342926378,34030342976612,True,,
I_0074,1201.872,3340.449,441.409,91.9,0.207,0.017,533.544,34039026556166,34039118455859,34039118670593,34039118690740,True,,
I_0075,2030.736,5947.895,380.971,137.152,0.193,0.016,518.341,34050366364433,34050503516376,34050503715988,34050503734719,True,,
I_0076,88.87,3913.633,397.397,90.65,0.294,0.044,488.399,34058421777833,34058512428032,34058512730464,34058512779895,True,,
I_0077,146.227,4800.278,757.973,91.2,0.287,0.039,849.511,34067736587971,34067827787777,34067828083422,34067828126283,True,,
I_0078,554.331,2544.992,625.045,91.109,0.205,0.016,716.384,34074756698580,34074847808021,34074848019725,34074848037857,True,,
I_0079,301.486,2620.928,353.139,90.645,0.19,0.015,443.997,34081281933894,34081372578820,34081372774847,34081372792012,True,,
I_0080,611.791,3435.858,307.65,88.119,0.3,0.04,396.121,34089382628308,34089470747532,34089471055625,34089471099773,True,,
I_0081,668.797,4636.928,308.037,91.22,0.313,0.049,399.63,34098651486533,34098742706361,34098743026620,34098743080110,True,,
I_0082,1748.569,2658.585,307.038,91.174,0.241,0.018,398.482,34106751484238,34106842657766,34106842907780,34106842928869,True,,
I_0083,1794.317,5401.147,308.576,91.136,0.27,0.037,400.03,34117551464502,34117642600485,34117642877280,34117642918742,True,,
I_0084,901.15,2606.495,351.443,91.921,0.202,0.02,443.598,34124886375899,34124978297352,34124978507750,34124978530438,True,,
I_0085,555.902,2004.227,353.482,91.183,0.21,0.03,444.915,34130961493926,34131052676973,34131052893540,34131052926666,True,,
I_0086,726.144,2644.807,307.784,91.416,0.192,0.017,399.417,34137711326433,34137802742498,34137802941133,34137802959998,True,,
I_0087,1080.398,4675.149,401.574,89.054,0.273,0.036,490.948,34147164347009,34147253401170,34147253681038,34147253720772,True,,
I_0088,1122.075,5399.365,308.67,91.113,0.204,0.017,400.013,34157872396859,34157963510189,34157963720645,34157963739841,True,,
I_0089,1947.772,2638.286,354.486,90.923,0.199,0.016,445.632,34165971806648,34166062730020,34166062934730,34166062952760,True,,
I_0090,1268.46,2641.288,310.034,90.159,0.306,0.051,400.564,34173262241726,34173352400381,34173352714569,34173352771364,True,,
I_0091,80.254,3963.934,310.222,90.68,0.206,0.017,401.134,34181361783467,34181452463044,34181452675299,34181452695596,True,,
I_0092,1420.251,2759.851,308.849,92.081,0.273,0.019,401.237,34189506332153,34189598412975,34189598695900,34189598720190,True,,
I_0093,1481.968,2652.765,309.781,90.307,0.281,0.048,400.43,34197472395389,34197562702665,34197562991804,34197563044393,True,,
I_0094,246.515,3933.87,353.703,92.294,0.342,0.043,446.398,34205571420706,34205663715007,34205664066729,34205664115473,True,,
I_0095,300.205,2620.439,308.264,92.4,0.236,0.022,400.933,34212276318252,34212368718037,34212368961691,34212368987579,True,,
I_0096,658.779,2620.337,309.943,92.369,0.19,0.017,402.527,34219611384330,34219703752975,34219703949415,34219703968525,True,,
I_0097,430.126,3929.929,355.024,91.245,0.19,0.017,446.486,34227757321180,34227848565746,34227848764593,34227848783989,True,,
I_0098,514.425,3934.978,264.661,91.04,0.236,0.019,355.966,34235721287249,34235812327391,34235812570814,34235812592487,True,,
I_0099,545.361,1924.149,354.675,89.746,0.272,0.033,444.737,34241842662185,34241932407737,34241932687376,34241932724286,True,,
I_0100,555.292,6684.529,310.171,90.153,0.191,0.016,400.54,34252597294215,34252687447458,34252687644800,34252687663305,True,,
I_0101,970.764,3434.647,308.685,91.148,0.289,0.018,400.154,34260741305973,34260832454026,34260832751803,34260832774741,True,,
I_0102,1021.966,4643.405,353.093,91.379,0.292,0.044,444.82,34270056359186,34270147737992,34270148037997,34270148086579,True,,
