trial_id,action,t_sent_ns,t_scan_ms,t_connect_ms,t_key_exchange_ms,t_write_ms,t_ack_ms,t_total_ms,success,error
lat_A_0001,STAND_UP,20809346804068,1075.3,3955.3,726.2,79.6,90.1,8446.0,True,
lat_A_0002,STAND_UP,20818519034435,837.2,3198.3,446.2,87.5,91.1,6998.7,True,
lat_A_0003,STAND_UP,20828777816955,2119.2,3220.0,400.1,88.5,91.1,7988.0,True,
lat_A_0004,STAND_UP,20838766531571,836.6,4457.5,444.2,90.0,91.1,7988.1,True,
lat_A_0005,STAND_UP,20849972982044,3426.0,3129.7,399.0,89.7,89.9,9023.2,True,
lat_A_0006,STAND_UP,20859872967304,838.1,4589.8,401.3,88.4,91.2,7987.8,True,
lat_A_0007,STAND_UP,20869773133362,852.9,4443.0,443.9,88.3,90.4,7988.6,True,
lat_A_0008,STAND_UP,20886153727473,2129.4,9601.7,400.3,87.9,90.9,15009.5,True,
lat_A_0009,STAND_UP,20899473118692,2119.9,5829.6,490.3,88.3,91.1,11003.6,True,
lat_A_0010,STAND_UP,20910993922875,827.4,5726.7,401.6,87.7,91.2,8977.6,True,
lat_A_0011,STAND_UP,20923277853028,3409.6,4450.3,400.7,88.8,91.1,11003.9,True,
lat_A_0012,STAND_UP,20940107774499,845.0,10839.5,400.0,88.5,91.1,15008.0,True,
lat_A_0013,STAND_UP,20949512838055,836.2,3197.6,445.7,88.4,91.4,6998.1,True,
lat_A_0014,STAND_UP,20959771684888,846.1,4447.6,444.4,90.9,90.0,7987.9,True,
lat_A_0015,STAND_UP,20969763016708,843.8,4450.5,445.3,88.2,91.1,7988.1,True,
lat_A_0016,STAND_UP,20978494102856,843.4,3190.2,446.7,88.4,90.1,6997.9,True,
lat_A_0017,STAND_UP,20987448166634,832.1,3156.1,445.9,89.3,90.2,6997.9,True,
lat_A_0018,STAND_UP,20996447752946,837.5,3198.1,398.8,90.1,89.7,6998.6,True,
lat_A_0019,STAND_UP,21013188270339,3413.8,8362.5,398.6,90.1,89.2,15008.7,True,
lat_A_0020,STAND_UP,21022412921690,836.5,3153.2,398.8,134.9,90.7,6996.6,True,
lat_A_0021,STAND_UP,21032763017757,2186.5,3110.0,443.2,89.8,90.0,7988.0,True,
lat_A_0022,STAND_UP,21044103887418,838.2,5762.0,490.2,89.4,90.2,10013.1,True,
lat_A_0023,STAND_UP,21056117816962,837.1,5719.5,533.0,89.7,90.0,10013.7,True,
lat_A_0024,STAND_UP,21066827647198,837.5,4456.3,489.4,89.6,91.2,7987.1,True,
lat_A_0025,STAND_UP,21078123257217,3414.2,3230.3,444.7,89.2,90.1,10013.0,True,
lat_A_0026,STAND_UP,21088878417258,882.4,4414.0,533.7,89.1,90.1,7988.5,True,
lat_A_0027,STAND_UP,21097608048887,838.6,3153.1,577.5,89.4,91.0,6998.1,True,
lat_A_0028,STAND_UP,21109262746101,847.4,5796.8,579.3,89.6,90.3,9967.7,True,
lat_A_0029,STAND_UP,21118397826707,833.3,3158.1,398.7,89.7,90.3,6999.2,True,
lat_A_0030,STAND_UP,21127443015550,835.6,3153.3,444.7,89.3,90.1,6997.7,True,
