trial_id,action,t_sent_ns,t_scan_ms,t_connect_ms,t_key_exchange_ms,t_write_ms,t_ack_ms,t_total_ms,success,error
lat_B_0001,STAND_UP,21154451500649,756.3,4519.7,408.8,81.1,90.0,171.2,True,
lat_B_0002,STAND_UP,21154723158843,,,,79.3,90.1,169.6,True,
lat_B_0003,STAND_UP,21154993228897,,,,80.2,90.0,170.4,True,
lat_B_0004,STAND_UP,21155263904271,,,,78.5,90.2,168.9,True,
lat_B_0005,STAND_UP,21155533119256,,,,79.4,90.1,169.8,True,
lat_B_0006,STAND_UP,21155803244722,,,,79.1,90.4,169.7,True,
lat_B_0007,STAND_UP,21156073351951,,,,79.1,90.1,169.4,True,
lat_B_0008,STAND_UP,21156343087808,,,,79.4,90.0,169.6,True,
lat_B_0009,STAND_UP,21156612896115,,,,79.4,90.0,169.6,True,
lat_B_0010,STAND_UP,21156882919083,,,,79.6,90.2,170.0,True,
lat_B_0011,STAND_UP,21157153372742,,,,79.2,89.9,169.5,True,
lat_B_0012,STAND_UP,21157423033058,,,,79.7,134.7,214.6,True,
lat_B_0013,STAND_UP,21157738013173,,,,79.8,89.9,169.9,True,
lat_B_0014,STAND_UP,21158008283664,,,,79.6,89.5,169.4,True,
lat_B_0015,STAND_UP,21158277945909,,,,79.4,90.1,169.8,True,
lat_B_0016,STAND_UP,21158548064473,,,,79.3,90.3,170.0,True,
lat_B_0017,STAND_UP,21158818245492,,,,79.0,90.1,169.3,True,
lat_B_0018,STAND_UP,21159087973914,,,,79.4,90.2,169.8,True,
lat_B_0019,STAND_UP,21159358132724,,,,79.6,90.1,170.0,True,
lat_B_0020,STAND_UP,21159628329893,,,,79.0,91.1,170.3,True,
lat_B_0021,STAND_UP,21159899064063,,,,78.3,91.0,169.6,True,
lat_B_0022,STAND_UP,21160168964577,,,,79.5,89.3,169.0,True,
lat_B_0023,STAND_UP,21160438331725,,,,79.0,90.5,169.7,True,
lat_B_0024,STAND_UP,21160708392075,,,,79.2,90.1,169.5,True,
lat_B_0025,STAND_UP,21160978174669,,,,79.3,91.1,170.6,True,
lat_B_0026,STAND_UP,21161249132310,,,,78.3,90.0,168.6,True,
lat_B_0027,STAND_UP,21161518117853,,,,79.3,91.1,170.7,True,
lat_B_0028,STAND_UP,21161789241123,,,,79.3,88.8,168.4,True,
lat_B_0029,STAND_UP,21162058054596,,,,79.6,90.7,170.5,True,
lat_B_0030,STAND_UP,21162328976656,,,,123.5,90.0,213.7,True,
lat_B_0031,STAND_UP,21162643191189,,,,80.4,89.0,169.6,True,
lat_B_0032,STAND_UP,21162913168940,,,,79.3,90.2,169.7,True,
lat_B_0033,STAND_UP,21163183193375,,,,80.4,89.3,169.9,True,
lat_B_0034,STAND_UP,21163453415715,,,,79.0,90.2,169.4,True,
lat_B_0035,STAND_UP,21163723143398,,,,80.3,90.0,170.5,True,
lat_B_0036,STAND_UP,21163994070367,,,,79.6,89.9,169.8,True,
lat_B_0037,STAND_UP,21164264155458,,,,79.4,89.0,168.7,True,
lat_B_0038,STAND_UP,21164533267109,,,,79.4,89.9,169.6,True,
lat_B_0039,STAND_UP,21164803119855,,,,80.1,90.1,170.4,True,
lat_B_0040,STAND_UP,21165073856812,,,,79.4,134.1,213.7,True,
lat_B_0041,STAND_UP,21165387851917,,,,80.5,89.3,170.1,True,
lat_B_0042,STAND_UP,21165658262106,,,,79.0,90.2,169.4,True,
lat_B_0043,STAND_UP,21165928101815,,,,79.1,90.3,169.7,True,
lat_B_0044,STAND_UP,21166198175021,,,,79.1,90.2,169.6,True,
lat_B_0045,STAND_UP,21166468041581,,,,80.2,90.3,170.8,True,
lat_B_0046,STAND_UP,21166739250420,,,,78.2,90.1,168.6,True,
lat_B_0047,STAND_UP,21167008450319,,,,79.2,89.9,169.4,True,
lat_B_0048,STAND_UP,21167278327095,,,,79.2,90.0,169.5,True,
lat_B_0049,STAND_UP,21167548433157,,,,79.1,89.9,169.4,True,
lat_B_0050,STAND_UP,21167818151929,,,,79.4,89.9,169.7,True,
lat_B_0051,STAND_UP,21168088212841,,,,79.2,90.1,169.5,True,
lat_B_0052,STAND_UP,21168358263740,,,,124.2,91.0,215.5,True,
lat_B_0053,STAND_UP,21168673988355,,,,79.3,89.1,168.7,True,
lat_B_0054,STAND_UP,21168943138386,,,,79.3,90.4,170.0,True,
lat_B_0055,STAND_UP,21169213617674,,,,78.7,91.4,170.4,True,
lat_B_0056,STAND_UP,21169484462251,,,,78.2,91.9,170.3,True,
lat_B_0057,STAND_UP,21169755323486,,,,77.1,90.4,167.7,True,
lat_B_0058,STAND_UP,21170023421898,,,,79.1,90.3,169.7,True,
lat_B_0059,STAND_UP,21170293589657,,,,79.0,90.2,169.5,True,
lat_B_0060,STAND_UP,21170563366274,,,,79.2,90.1,169.5,True,
lat_B_0061,STAND_UP,21170833325222,,,,79.1,90.1,169.5,True,
lat_B_0062,STAND_UP,21171103287645,,,,79.2,91.1,170.6,True,
lat_B_0063,STAND_UP,21171374312640,,,,78.4,90.1,168.8,True,
lat_B_0064,STAND_UP,21171643599069,,,,78.9,90.4,169.5,True,
lat_B_0065,STAND_UP,21171913602822,,,,79.1,89.9,169.3,True,
lat_B_0066,STAND_UP,21172183411155,,,,79.0,90.2,169.5,True,
lat_B_0067,STAND_UP,21172453338696,,,,79.2,91.3,170.8,True,
lat_B_0068,STAND_UP,21172724433590,,,,78.2,90.1,168.6,True,
lat_B_0069,STAND_UP,21172993567165,,,,78.8,90.1,169.2,True,
lat_B_0070,STAND_UP,21173263345636,,,,80.0,89.3,169.5,True,
lat_B_0071,STAND_UP,21173533400952,,,,79.2,90.0,169.6,True,
lat_B_0072,STAND_UP,21173803587810,,,,79.1,89.9,169.3,True,
lat_B_0073,STAND_UP,21174073530227,,,,79.1,90.0,169.4,True,
lat_B_0074,STAND_UP,21174343264491,,,,79.4,90.2,169.8,True,
lat_B_0075,STAND_UP,21174613298391,,,,124.4,90.2,214.8,True,
lat_B_0076,STAND_UP,21174928592948,,,,79.2,90.1,169.5,True,
lat_B_0077,STAND_UP,21175198767805,,,,79.1,89.8,169.2,True,
lat_B_0078,STAND_UP,21175468224142,,,,124.3,91.1,215.6,True,
lat_B_0079,STAND_UP,21175784084056,,,,78.5,90.0,168.7,True,
lat_B_0080,STAND_UP,21176053220317,,,,79.4,90.1,169.7,True,
lat_B_0081,STAND_UP,21176323432144,,,,80.0,89.5,169.7,True,
lat_B_0082,STAND_UP,21176593463772,,,,79.1,90.2,169.6,True,
lat_B_0083,STAND_UP,21176863426921,,,,79.3,89.9,169.4,True,
lat_B_0084,STAND_UP,21177133298279,,,,79.4,90.1,169.6,True,
lat_B_0085,STAND_UP,21177403228146,,,,79.2,90.3,169.7,True,
lat_B_0086,STAND_UP,21177673393793,,,,79.4,89.9,169.5,True,
lat_B_0087,STAND_UP,21177943394796,,,,79.1,90.2,169.6,True,
lat_B_0088,STAND_UP,21178213652357,,,,79.1,90.1,169.5,True,
lat_B_0089,STAND_UP,21178483504037,,,,79.2,90.2,169.6,True,
lat_B_0090,STAND_UP,21178753330220,,,,79.3,134.8,214.3,True,
lat_B_0091,STAND_UP,21179068711432,,,,79.5,90.3,170.1,True,
lat_B_0092,STAND_UP,21179339289037,,,,78.4,89.8,168.6,True,
lat_B_0093,STAND_UP,21179608076335,,,,79.7,90.2,170.1,True,
lat_B_0094,STAND_UP,21179878630906,,,,78.9,90.1,169.2,True,
lat_B_0095,STAND_UP,21180148136196,,,,79.4,90.4,170.0,True,
lat_B_0096,STAND_UP,21180418491472,,,,79.3,89.8,169.3,True,
lat_B_0097,STAND_UP,21180688432246,,,,79.3,90.1,169.9,True,
lat_B_0098,STAND_UP,21180958314398,,,,79.1,90.4,169.8,True,
lat_B_0099,STAND_UP,21181228544107,,,,78.9,90.5,169.6,True,
lat_B_0100,STAND_UP,21181498679218,,,,79.1,89.9,169.2,True,
