trial_id,action,t_sent_ns,scan_ms,connect_ms,key_exchange_ms,client_encrypt_ms,client_write_ms,ack_wait_ms,command_to_ack_ms,success,error
G_0001,STAND_UP,26707003818284,364.516,3449.137,766.095,,,,,,
G_0002,STAND_UP,26707278180720,,,,0.275,78.287,91.115,169.7,True,
G_0003,STAND_UP,26707548355771,,,,0.245,78.42,89.761,168.451,True,
G_0004,STAND_UP,26707817437064,,,,0.514,79.125,90.15,169.811,True,
G_0005,STAND_UP,26708087340359,,,,0.18,79.037,90.59,169.833,True,
G_0006,STAND_UP,26708357615827,,,,0.271,79.796,89.077,169.168,True,
G_0007,STAND_UP,26708627246556,,,,0.209,79.135,90.07,169.437,True,
G_0008,STAND_UP,26708897186303,,,,0.288,79.505,89.984,169.798,True,
G_0009,STAND_UP,26709167326722,,,,0.232,79.13,90.007,169.389,True,
G_0010,STAND_UP,26709436969761,,,,0.186,79.479,89.887,169.574,True,
G_0011,STAND_UP,26709706993377,,,,0.179,79.626,90.013,169.839,True,
G_0012,STAND_UP,26709977232069,,,,0.208,79.485,90.711,170.424,True,
G_0013,STAND_UP,26710247973002,,,,0.175,123.42,90.29,213.907,True,
G_0014,STAND_UP,26710562222157,,,,0.188,79.22,90.071,169.502,True,
G_0015,STAND_UP,26710832161160,,,,0.264,79.293,89.971,169.553,True,
G_0016,STAND_UP,26711102090058,,,,0.278,79.255,90.503,170.06,True,
G_0017,STAND_UP,26711372487803,,,,0.183,78.949,90.398,169.55,True,
G_0018,STAND_UP,26711642473907,,,,0.198,79.195,89.83,169.243,True,
G_0019,STAND_UP,26711912051320,,,,0.221,80.571,88.715,169.531,True,
G_0020,STAND_UP,26712181910159,,,,0.187,80.433,89.45,170.091,True,
G_0021,STAND_UP,26712452470888,,,,0.236,80.032,88.925,169.217,True,
G_0022,STAND_UP,26712722359570,,,,0.403,80.022,89.19,169.64,True,
G_0023,STAND_UP,26712992407571,,,,0.242,78.855,90.114,169.237,True,
G_0024,STAND_UP,26713262068971,,,,0.227,80.21,90.203,170.666,True,
G_0025,STAND_UP,26713533337717,,,,0.257,77.993,90.162,168.436,True,
G_0026,STAND_UP,26713802294261,,,,0.424,79.095,90.089,169.632,True,
G_0027,STAND_UP,26714072285127,,,,0.332,79.128,91.011,170.497,True,
G_0028,STAND_UP,26714343204799,,,,0.353,78.312,90.188,168.88,True,
G_0029,STAND_UP,26714612237374,,,,0.189,80.212,89.042,169.466,True,
G_0030,STAND_UP,26714882038673,,,,0.187,79.325,91.213,170.767,True,
G_0031,STAND_UP,26715153443678,,,,0.31,78.949,89.29,168.57,True,
G_0032,STAND_UP,26715422335981,,,,0.185,79.344,89.818,169.368,True,
G_0033,STAND_UP,26715692473893,,,,0.189,78.992,89.933,169.137,True,
G_0034,STAND_UP,26715961921822,,,,0.193,79.308,90.27,169.795,True,
G_0035,STAND_UP,26716232257511,,,,0.339,79.171,89.994,169.528,True,
G_0036,STAND_UP,26716502134944,,,,0.316,79.355,90.862,170.558,True,
G_0037,STAND_UP,26716773015030,,,,0.277,78.293,90.255,168.849,True,
G_0038,STAND_UP,26717042227145,,,,0.203,79.253,90.124,169.603,True,
G_0039,STAND_UP,26717312282680,,,,0.257,80.01,90.549,170.84,True,
G_0040,STAND_UP,26717583335827,,,,0.186,78.044,90.262,168.514,True,
G_0041,STAND_UP,26717852282667,,,,0.218,79.185,89.985,169.411,True,
G_0042,STAND_UP,26718122090609,,,,0.255,79.153,90.21,169.642,True,
G_0043,STAND_UP,26718391986332,,,,0.175,79.776,89.608,169.581,True,
G_0044,STAND_UP,26718661880339,,,,0.176,79.502,90.176,169.879,True,
G_0045,STAND_UP,26718932203499,,,,0.259,79.314,91.089,170.685,True,
G_0046,STAND_UP,26719203214670,,,,0.218,78.281,89.816,168.338,True,
