endpoint,trial_id,action,t_received_ns,t_ack_set_ns
phone,G_0001,STAND_UP,16345482010259,16345497269616
phone,G_0002,STAND_UP,16345751934930,16345766669553
phone,G_0003,STAND_UP,16346021853507,16346035793608
phone,G_0004,STAND_UP,16346291886146,16346305996089
phone,G_0005,STAND_UP,16346561829671,16346575613732
phone,G_0006,STAND_UP,16346831927309,16346846698181
phone,G_0007,STAND_UP,16347102009843,16347116429678
phone,G_0008,STAND_UP,16347371833890,16347386568617
phone,G_0009,STAND_UP,16347641758196,16347655507987
phone,G_0010,STAND_UP,16347911770679,16347926336137
phone,G_0011,STAND_UP,16348181777953,16348195651701
phone,G_0012,STAND_UP,16348454167388,16348470458660
phone,G_0013,STAND_UP,16348768632330,16348784599856
phone,G_0014,STAND_UP,16349039061319,16349056047999
phone,G_0015,STAND_UP,16349309185258,16349325802776
phone,G_0016,STAND_UP,16349578991702,16349596167963
phone,G_0017,STAND_UP,16349849175380,16349867828813
phone,G_0018,STAND_UP,16350119461453,16350136569122
phone,G_0019,STAND_UP,16350388577957,16350404607096
phone,G_0020,STAND_UP,16350658994966,16350679446920
phone,G_0021,STAND_UP,16350929295258,16350945113514
phone,G_0022,STAND_UP,16351199089410,16351216072184
phone,G_0023,STAND_UP,16351469199235,16351485671026
phone,G_0024,STAND_UP,16351739147708,16351756068869
phone,G_0025,STAND_UP,16352009168837,16352025183080
phone,G_0026,STAND_UP,16352279171580,16352295885920
phone,G_0027,STAND_UP,16352549195937,16352565257004
phone,G_0028,STAND_UP,16352819112536,16352836944676
phone,G_0029,STAND_UP,16353089162727,16353105011087
phone,G_0030,STAND_UP,16353359121720,16353376167411
phone,G_0031,STAND_UP,16353629085766,16353645663545
phone,G_0032,STAND_UP,16353899120644,16353916133106
phone,G_0033,STAND_UP,16354169124690,16354185302526
phone,G_0034,STAND_UP,16354439090454,16354455984167
phone,G_0035,STAND_UP,16354709176061,16354725262700
phone,G_0036,STAND_UP,16354979092035,16354995627731
phone,G_0037,STAND_UP,16355249206808,16355265081418
phone,G_0038,STAND_UP,16355519104657,16355536251075
phone,G_0039,STAND_UP,16355789161410,16355805759137
phone,G_0040,STAND_UP,16356059275715,16356080494170
phone,G_0041,STAND_UP,16356330845992,16356347232471
phone,G_0042,STAND_UP,16356599096829,16356615832106
phone,G_0043,STAND_UP,16356869245508,16356887923575
phone,G_0044,STAND_UP,16357138947109,16357155291297
phone,G_0045,STAND_UP,16357409142506,16357424923367
phone,G_0046,STAND_UP,16357679106865,16357696172659
phone,G_0047,STAND_UP,16357948626593,16357964837657
phone,G_0048,STAND_UP,16358219010634,16358235985075
phone,G_0049,STAND_UP,16358488524633,16358504567991
phone,G_0050,STAND_UP,16358759102110,16358775597025
phone,G_0051,STAND_UP,16359029229799,16359045265501
phone,G_0052,STAND_UP,16359299144159,16359315703500
phone,G_0053,STAND_UP,16359569097475,16359585016356
phone,G_0054,STAND_UP,16359840759315,16359857442040
phone,G_0055,STAND_UP,16360109123431,16360125519598
phone,G_0056,STAND_UP,16360379095862,16360396282489
phone,G_0057,STAND_UP,16360649090533,16360665240348
phone,G_0058,STAND_UP,16360918503283,16360934900283
phone,G_0059,STAND_UP,16361189077531,16361205125889
phone,G_0060,STAND_UP,16361458904078,16361475588002
phone,G_0061,STAND_UP,16361729200100,16361745214083
phone,G_0062,STAND_UP,16361999085970,16362016609363
