test,result,duration_ms,note
TC01 normal send/receive after fresh provisioning,PASS,7.81,
TC02 replay of accepted packet rejected,PASS,0.18,
TC03 tampered ciphertext rejected,PASS,0.12,
TC04 tampered GCM tag rejected,PASS,0.12,
TC05 tampered nonce rejected,PASS,0.07,
TC06 wrong key rejected,PASS,0.1,
TC07 reflection: initiator rejects own packet,PASS,0.07,
TC08 stale counter rejected after newer accepted,PASS,0.16,
TC09 send counter survives restart,PASS,0.32,
TC10 recv counter survives restart,PASS,0.56,
TC11 replay rejected after receiver restart,PASS,0.13,
TC12 corrupted state file fails closed,PASS,0.02,
TC13 counter reset under same key detected as stale,PASS,0.22,
